canonical_sku	canonical_product_id	canonical_name	commercial_sector
APA-00-01-00	6467	APARCABICICLETA ONE CURVO	Centro Comercial, Restaurantes y Hoteles
APA-00-03-00	6472	APARCABICICLETA ONE SEMIONDULADO	Centro Comercial, Restaurantes y Hoteles
APA-00-04-00	8350	APARCABICICLETAS ONE MARCO	Centro Comercial, Restaurantes y Hoteles
APA-00-05-00	6445	APARCABICICLETA ONE RECTANGULAR	Centro Comercial, Restaurantes y Hoteles
APA-00-06-00	6448	APARCABICICLETA SIX ONDULADO	Residenciales y fraccionamientos
APA-00-07-00	6474	APARCABICICLETA THREE TRIANGULAR	Residenciales y fraccionamientos
APA-00-10-00	32334	APARCABICICLETAS ANGULAR	Residenciales y fraccionamientos
APA-00-13-00	32109	APARCABICICLETAS RUDY	Residenciales y fraccionamientos
BAN-00-01-00	6318	BANCA LOA LAMINA	Mesas y bancas
BAN-00-02-00	6389	BANCA VELETA	Mesas y bancas
BAN-00-04-00	6810	BANCA CON PERFILES	Mesas y bancas
BAN-00-05-00	6350	BANCA PISSIS	Mesas y bancas
BAN-00-07-00	6346	BANCA ALPES	Mesas y bancas
BAN-00-09-00	6283	BANCA HIMALAYA	Mesas y bancas
BAN-00-10-00	22365	BANCA CIRCULAR CON ASIENTO	Mesas y bancas
BAN-CR-01-00	6414	BANCA VINSONS	Mesas y bancas
BAN-CR-02-00	6426	BANCA DEVI	Mesas y bancas
BAN-CR-04-00	7292	BANCA VINSONS KLEIN	Mesas y bancas
BAN-CR-05-00	22386	BANCA VINSONS B	Mesas y bancas
BAN-IN-01-00	6341	BANCA LOGAN INCLUSIVA	Mesas y bancas
BAN-IN-02-00	8328	BANCA LOGAN INCLUSIVA PVC	Mesas y bancas
BAN-LP-03-00	6335	BANCA PALERMO	Mesas y bancas
BAN-LP-04-00	6330	BANCA AKIER	Mesas y bancas
BAN-LP-06-00	6312	BANCA CIRCULAR	Mesas y bancas
BAN-LP-07-00	6288	BANCA EVEREST	Mesas y bancas
BAN-MA-01-00	22359	BANCA CIRCULAR JUNKO	Mesas y bancas
BAN-MS-03-01	6400	BANCA TINDAYA SIN RESPALDO	Mesas y bancas
BAN-PL-02-00	7479	BANCA ONON	Mesas y bancas
BAN-PM-01-00	32296	BANCA FUJI A	Mesas y bancas
BAN-PM-01-01	32302	BANCA FUJI B	Mesas y bancas
BAN-PM-04-00	6299	BANCA TÁCANA	Mesas y bancas
BAN-PM-05-00	6360	BANCA PARA BOLERO	Mesas y bancas
BAN-PM-07-00	6354	BANCA BARCENA	Mesas y bancas
BAN-PM-10-00	6721	BANCA CENTRO HISTORICO CON PLASTIMADERA	Mesas y bancas
BAN-PP-01-00	6293	BANCA PMP PLASTIMADERA	Mesas y bancas
BAN-PP-03-00	6374	BANCA PUMORI PLASTIMADERA	Mesas y bancas
BAN-PP-04-00	8316	BANCA KIRO	Mesas y bancas
