source_sku	source_model	commercial_sector	resolution_type	canonical_sku	canonical_product_id	canonical_status	canonical_name	confidence	evidence
EL-118-4C	INFINITO	Centro Comercial, Restaurantes y Hoteles	direct_sku	EL-118-4C	7383	publish	INFINITO	exact_sku	production_sku
EL-619-4C	TRAPIST	Centro Comercial, Restaurantes y Hoteles	direct_sku	EL-619-4C	7395	publish	TRAPIST	exact_sku	production_sku
EL-1619-4C	SIRIUS	Centro Comercial, Restaurantes y Hoteles	direct_sku	EL-1619-4C	7407	publish	SIRIUS	exact_sku	production_sku
EL-1519-4C	MILLER	Centro Comercial, Restaurantes y Hoteles	direct_sku	EL-1519-4C	7405	publish	MILLER	exact_sku	production_sku
EOS-PR-01-02	VERONA	Escuelas y colegios	direct_sku	EOS-PR-01-02	6082	publish	Juego Verona (EOS-PR-01-02)	exact_sku	production_sku
IOS-PR-01-04	MODULO IBIZA	Residenciales y fraccionamientos	sku_alias	MEV-CR-01-00	32305	publish	Juego IBIZA	confirmed_by_media	active_images_contain_source_sku
EOS-PR-05-00	MODULO SIENA	Juegos de exterior	sku_alias	MEC-CR-05-00	6113	publish	Juego SIENA	high	unique_normalized_name_match
TDF-00-01-00	MODULO VIZCAYA	Juegos de exterior	direct_sku	TDF-00-01-00	32733	publish	Juego VIZCAYA (TDF-00-01-00)	exact_sku	production_sku
TDF-00-02-02	MODULO VALLADOLID	Residenciales y fraccionamientos	sku_alias	MEL-CR-03-00	24822	publish	Juego VALLADOLID	confirmed_by_media	active_images_contain_source_sku
TDF-00-03-01	MODULO CORDOBA	Residenciales y fraccionamientos	sku_alias	MEL-CR-01-00	24818	publish	Juego Córdoba	high	unique_normalized_name_match
EOS-PR-08-02	MODULO CALIFORNIA	Juegos de exterior	sku_alias	MER-PR-03-00	32323	publish	Juego CALIFORNIA	confirmed_by_media	active_images_contain_source_sku
EOS-PR-09-00	MODULO MASSACHUSETTS	Escuelas y colegios	sku_alias	MER-PR-02-00	6705	publish	Juego MASSACHUSETTS	high	unique_normalized_name_match
EOS-PR-10-01	MODULO PARIS	Juegos de exterior	sku_alias	EOS-PR-10-00	6676	publish	Juego Paris (EOS-PR-10-01)	confirmed_by_product_title	published_product_title_contains_source_sku
EOS-PR-15-03	MODULO ARKANSAS	Juegos de exterior	direct_sku	EOS-PR-15-03	6836	publish	Juego Arkansas (EOS-PR-15-03)	exact_sku	production_sku
EOS-PR-11-02	MODULO RANDOLPH	Escuelas y colegios	sku_alias	MER-PR-08-00	32325	publish	Juego RANDOLPH	confirmed_by_media	active_images_contain_source_sku
EOS-PR-18-03	MODULO GRADY	Escuelas y colegios	sku_alias	MEV-CR-03-00	6738	publish	Juego GRADY	high	unique_normalized_name_match
EOS-PR-19-02	MODULO PARMA	Residenciales y fraccionamientos	sku_alias	MEV-CR-02-00	32327	publish	Juego PARMA	confirmed_by_media	active_images_contain_source_sku
EOS-CR-01-00	MODULO BARCELONA	Juegos de exterior	direct_sku	EOS-CR-01-00	32728	publish	Juego BARCELONA (EOS-CR-01-00)	exact_sku	production_sku
EOS-PR-24-00	MODULO RUSSEL	Escuelas y colegios	sku_alias	MER-PR-06-00	6785	publish	Juego RUSSEL	high	unique_normalized_name_match
EOS-PR-25-03	MODULO WINSTON	Juegos de exterior	sku_alias	MER-PR-07-00	6783	publish	Juego WINSTON	high	unique_normalized_name_match
EOS-PR-26-00	MODULO CHARLOTTE	Escuelas y colegios	sku_alias	MEC-CR-03-00	21148	publish	Juego CHARLOTTE	high	unique_normalized_name_match
EOS-PR-29-00	MODULO BALTIMORE BASIC	Residenciales y fraccionamientos	direct_sku	EOS-PR-29-00	6793	publish	Juego BALTIMORE BASIC	exact_sku	production_sku
EOS-PR-28-00	MODULO BALTIMORE	Centro Comercial, Restaurantes y Hoteles	direct_sku	EOS-PR-28-00	6795	publish	Juego BALTIMORE	exact_sku	production_sku
EOS-CR-02-03	MODULO BRITANIA	Juegos de exterior	sku_alias	MER-PR-05-00	32303	publish	Juego BRITANIA	confirmed_by_media	active_images_contain_source_sku
EOS-CR-03-03	MODULO ESPAÑA	Juegos de exterior	sku_alias	MEC-CR-02-00	32304	publish	Juego ESPAÑA	confirmed_by_media	active_images_contain_source_sku
EOS-PR-31-00	MODULO BOSTON	Escuelas y colegios	sku_alias	MEC-CR-01-00	6797	publish	Juego BOSTON	high	unique_normalized_name_match
EOS-00-04-00	MODULO IGGY	Centro Comercial, Restaurantes y Hoteles	direct_sku	EOS-00-04-00	24851	publish	Juego Iggy	exact_sku	production_sku
EOS-00-05-00	MODULO YETY	Residenciales y fraccionamientos	direct_sku	EOS-00-05-00	24856	publish	Juego Yety	exact_sku	production_sku
EOS-PR-34-00	MODULO ENSUEÑO	Residenciales y fraccionamientos	sku_alias	EOS-PR-34-20	28342	publish	Ensueño	high	unique_normalized_name_match
TEM-PL-02-00	MODULO NAVE ORION	Juegos de exterior	sku_alias	TEM-PL-02-20	6872	publish	Juego NAVE ORION	high	unique_normalized_name_match
TEM-PL-01-00	MODULO NAVE TITAN	Juegos de exterior	sku_alias	TEM-PL-01-20	6884	publish	Juego Nave Titán	high	unique_normalized_name_match
TEM-PL-03-00	MODULO COHETE ESPACIAL	Escuelas y colegios	direct_sku	TEM-PL-03-00	6860	publish	Juego Cohete Espacial	exact_sku	production_sku
TEM-PL-07-00	MODULO MONSTRIKS	Centro Comercial, Restaurantes y Hoteles	direct_sku	TEM-PL-07-00	7450	publish	Juego MONSTRIKS	exact_sku	production_sku
TEM-PL-09-00	MODULO ROBOTO	Escuelas y colegios	sku_alias	TEM-PL-09-20	6852	publish	Juego ROBOTO	high	unique_normalized_name_match
TEM-PL-16-00	MODULO TEMATICO ZEBRA	Juegos de exterior	sku_alias	TEM-PL-16-20	28369	publish	Juego temático Zebra	high	unique_normalized_name_match
TEM-PL-15-00	MODULO TEMATICO JIRAFA	Juegos de exterior	sku_alias	TEM-PL-15-20	28365	publish	Juego temático jirafa	high	unique_normalized_name_match
TEM-PR-03-00	MODULO BARCO	Juegos de exterior	sku_alias	TEM-PR-03-20	6874	publish	Juego BARCO	high	unique_normalized_name_match
TEM-PR-04-00	MODULO NAVIO	Juegos de exterior	sku_alias	TEM-PR-04-20	6876	publish	Juego NAVIO	high	unique_normalized_name_match
TEM-PR-06-05	MODULO IMPERIO	Juegos de exterior	sku_alias	MEC-CR-07-00	32328	publish	Juego IMPERIO	high	unique_normalized_name_match
TEM-PR-07-01	MODULO TREN	Centro Comercial, Restaurantes y Hoteles	sku_alias	TEM-PR-07-20	32329	publish	Juego TREN	confirmed_by_media	active_images_contain_source_sku
EVA-PR-01-00	MODULO ATRACTION	Centro Comercial, Restaurantes y Hoteles	sku_alias	EVA-PR-01-20	7751	publish	Juego ATRACTION	high	unique_normalized_name_match
EVA-00-02-00	MODULO ARACNIDUS	Juegos de exterior	direct_sku	EVA-00-02-00	6897	publish	Juego ARACNIDUS	exact_sku	production_sku
TEM-PR-09-00	MODULO HORMIGUERO	Escuelas y colegios	direct_sku	TEM-PR-09-00	7458	publish	Juego HORMIGUERO	exact_sku	production_sku
EVA-PL-01-00	MODULO GENERATION	Juegos de exterior	direct_sku	EVA-PL-01-00	6910	publish	Juego GENERATION	exact_sku	production_sku
TRE-CU-03-01	TREPADERO PIRAMIDE CHICA	Juegos de exterior	direct_sku	TRE-CU-03-01	6916	publish	TREPADERO PIRAMIDE CHICA	exact_sku	production_sku
TRE-00-02-00	TREPADERO TRIPLEX	Residenciales y fraccionamientos	direct_sku	TRE-00-02-00	6928	publish	TREPADERO TRIPLEX	exact_sku	production_sku
TRE-00-03-00	TREPADERO MEDIA ESFERA	Residenciales y fraccionamientos	direct_sku	TRE-00-03-00	6930	publish	TREPADERO MEDIA ESFERA	exact_sku	production_sku
