product_id	product_sku	product_name	product_status	spec_key	spec_label	value_text	value_1	value_2	unit	source	source_confidence	ordinal	raw_label	raw_value
5940	EJE-BA-08-00	Ejercitador Eliptica Balance	private	length	Largo	1.15 m	1.15		m	post_excerpt	high	1	Largo	1.15 m
5940	EJE-BA-08-00	Ejercitador Eliptica Balance	private	width	Ancho	0.60 m	0.60		m	post_excerpt	high	2	Ancho	0.60 m
5940	EJE-BA-08-00	Ejercitador Eliptica Balance	private	height	Alto	1.65 m	1.65		m	post_excerpt	high	3	Alto	1.65 m
5940	EJE-BA-08-00	Ejercitador Eliptica Balance	private	minimum_area	Área mínima	2.25 m × 1.60 m	2.25	1.60	m	post_excerpt	high	4	Área mínima	2.25 m X 1.60 m
5940	EJE-BA-08-00	Ejercitador Eliptica Balance	private	capacity	Capacidad	1 persona	1		persona	post_excerpt	high	5	Capacidad	1 persona
5996	EJE-BA-11-00	Ejercitador De Pecho Balance	private	length	Largo	1.40 m	1.40		m	post_excerpt	high	1	Largo	1.40 m
5996	EJE-BA-11-00	Ejercitador De Pecho Balance	private	width	Ancho	0.70 m	0.70		m	post_excerpt	high	2	Ancho	0.70 m
5996	EJE-BA-11-00	Ejercitador De Pecho Balance	private	height	Alto	1.80 m	1.80		m	post_excerpt	high	3	Alto	1.80 m
5996	EJE-BA-11-00	Ejercitador De Pecho Balance	private	minimum_area	Área mínima	2.45 m × 1.70 m	2.45	1.70	m	post_excerpt	high	4	Área mínima	2.45 m X 1.70 m
5996	EJE-BA-11-00	Ejercitador De Pecho Balance	private	capacity	Capacidad	1 persona	1		persona	post_excerpt	high	5	Capacidad	1 persona
6034	EJE-BA-06-00	Ejercitador Potro Balance	private	length	Largo	1.15 m	1.15		m	post_excerpt	high	1	Largo	1.15 m
6034	EJE-BA-06-00	Ejercitador Potro Balance	private	width	Ancho	0.80 m	0.80		m	post_excerpt	high	2	Ancho	0.80 m
6034	EJE-BA-06-00	Ejercitador Potro Balance	private	height	Alto	1.20 m	1.20		m	post_excerpt	high	3	Alto	1.20 m
6034	EJE-BA-06-00	Ejercitador Potro Balance	private	minimum_area	Área mínima	2.15 m × 1.75 m	2.15	1.75	m	post_excerpt	high	4	Área mínima	2.15 m X 1.75 m
6034	EJE-BA-06-00	Ejercitador Potro Balance	private	capacity	Capacidad	1 persona	1		persona	post_excerpt	high	5	Capacidad	1 persona
6037	EJE-BA-12-00	Ejercitador Remadora Balance	private	length	Largo	1.85 m	1.85		m	post_excerpt	high	1	Largo	1.85 m
6037	EJE-BA-12-00	Ejercitador Remadora Balance	private	width	Ancho	0.75 m	0.75		m	post_excerpt	high	2	Ancho	0.75 m
6037	EJE-BA-12-00	Ejercitador Remadora Balance	private	height	Alto	0.95 m	0.95		m	post_excerpt	high	3	Alto	0.95 m
6037	EJE-BA-12-00	Ejercitador Remadora Balance	private	minimum_area	Área mínima	2.35 m × 1.75 m	2.35	1.75	m	post_excerpt	high	4	Área mínima	2.35 m X 1.75 m
