sku	product_id	product_name	product_slug	post_status
ALA-PT-01-00	7430	Alas Lucendi (PTJ-118)	alas-lucendi	draft
ARC-5911	29280	Pista de Skate ARC-5911	pista-de-skate-arc-5911	publish
ARC-6472	29276	Pista de Skate ARC-6472	pista-de-skate-arc-6472	publish
ARCPT-01	29281	Speed ring	speed-ring	publish
ARCPT-02	29284	Triple Threat	triple-threat	publish
BAN-IX-01-00	8359	BANCA LOA INOX	banca-loa-inox-2	publish
BAN-PP-08-00	6324	BANCA LOA PLASTIMADERA	banca-loa-b	publish
BAN-PT-04-00	7445	BANCA LUCENDI	banca-lucendi	publish
BAN-PT-05-00	7446	BANCA MEDIA LUNA LUCENDI	banca-media-luna-lucendi	publish
BAN-PT-06-00	7442	Banca de Luz (PTJ-BL)	banca-de-luz	private
BOA-PT-01-00	25243	Pixel Board	pixel-board	private
BOL-00-01-00	6531	BOLARDO METALICO	bolardo-completo	publish
BOL-00-02-00	6540	BOLARDO CUADRADO	bolardo-2	publish
BOL-00-03-00	6538	BOLARDO TRIANGULAR	bolardo-1	publish
BOL-00-04-00	8367	"BOLARDO METALICO 4"" 60 CM ALTURA"	bolardo-metalico-4-60cm-altura	publish
BOL-00-05-00	22429	"BOLARDO METALICO 6"" 80CM ALTURA"	bolardo-metalico-6-80cm-altura-2	publish
BOL-IX-01-00	8363	BOLARDO 5 INOX	bolardo-5-inox-2	publish
BOL-IX-02-00	8364	BOLARDO 3 INOX	bolardo-3-inox-2	publish
BOL-PT-01-00	22431	BOLARDO CON LUZ	bolardo-con-luz	publish
BOT-LP-05-01	6264	BOTE MISISIPI	bote-misisipi	publish
BUS-00-01-00	7505	PARABUS TECH	parabus-tech	publish
BUS-00-02-00	32111	PARABUS ZAMBA	parabus-zamba	publish
BUS-LP-01-00	6569	PARABUS LONG	parabus-3	publish
BUS-TP-01-00	8370	PARABUS BASIC	parabus-basic	publish
BUS-TP-02-00	6575	PARABUS FULL	parabus-1	publish
COL-CR-03-00	7077	Pasamanos Curvo con Canastilla Compuesto Plástico Reforzado	pasamanos-con-canastilla	publish
COL-PT-02-00	7411	COLUMPIO LUCENDI	columpio-lucendi	publish
EDU-PL-01-00	32271	PANEL CUENTA CONMIGO	panel-cuenta-conmigo	publish
EDU-PL-02-00	32272	PANEL CUENTA FICHAS (1-5)	panel-cuenta-fichas-1-5	publish
EDU-PL-03-00	32273	PANEL CUENTA FICHA (6-10)	panel-cuenta-ficha-6-10	publish
EDU-PL-04-00	32274	PANEL CUENTA FICHA (0-5)	panel-cuenta-ficha-0-5	publish
EDU-PL-05-00	32278	Juego OPERACIONES	modulo-operaciones	publish
EDU-PL-06-00	32275	PANEL DELETREA	panel-deletrea	publish
EDU-PL-07-00	32276	PANEL CREA PALABRAS	panel-crea-palabras	publish
EDU-PL-08-00	32277	Juego D_LETREA	modulo-d_letrea	publish
