sku	classification	repository_count	repository_ids	repository_statuses	repository_names	staging_count	staging_ids	staging_statuses	staging_names	production_count	production_ids	production_statuses	production_names
ALA-PT-01-00	all_three	1	7430	draft	Alas Lucendi (PTJ-118)	1	7430	draft	Alas Lucendi (PTJ-118)	1	7430	draft	Alas Lucendi (PTJ-118)
APA-00-01-00	all_three	1	6467	publish	APARCABICICLETA ONE CURVO	1	6467	publish	APARCABICICLETA ONE CURVO	1	6467	publish	APARCABICICLETA ONE CURVO
APA-00-03-00	all_three	1	6472	publish	APARCABICICLETA ONE SEMIONDULADO	1	6472	publish	APARCABICICLETA ONE SEMIONDULADO	1	6472	publish	APARCABICICLETA ONE SEMIONDULADO
APA-00-04-00	all_three	1	8350	publish	APARCABICICLETAS ONE MARCO	1	8350	publish	APARCABICICLETAS ONE MARCO	1	8350	publish	APARCABICICLETAS ONE MARCO
APA-00-05-00	all_three	1	6445	publish	APARCABICICLETA ONE RECTANGULAR	1	6445	publish	APARCABICICLETA ONE RECTANGULAR	1	6445	publish	APARCABICICLETA ONE RECTANGULAR
APA-00-06-00	all_three	1	6448	publish	APARCABICICLETA SIX ONDULADO	1	6448	publish	APARCABICICLETA SIX ONDULADO	1	6448	publish	APARCABICICLETA SIX ONDULADO
APA-00-07-00	all_three	1	6474	publish	APARCABICICLETA THREE TRIANGULAR	1	6474	publish	APARCABICICLETA THREE TRIANGULAR	1	6474	publish	APARCABICICLETA THREE TRIANGULAR
APA-00-10-00	all_three	1	32334	publish	APARCABICICLETAS ANGULAR	1	32230	publish	APARCABICICLETAS ANGULAR	1	32334	publish	APARCABICICLETAS ANGULAR
APA-00-13-00	all_three	1	32109	publish	APARCABICICLETAS RUDY	1	32128	publish	APARCABICICLETAS RUDY	1	32109	publish	APARCABICICLETAS RUDY
ARC-5911	all_three	1	29280	publish	Pista de Skate ARC-5911	1	29280	publish	Pista de Skate ARC-5911	1	29280	publish	Pista de Skate ARC-5911
ARC-6472	all_three	1	29276	publish	Pista de Skate ARC-6472	1	29276	publish	Pista de Skate ARC-6472	1	29276	publish	Pista de Skate ARC-6472
ARCPT-01	all_three	1	29281	publish	Speed ring	1	29281	publish	Speed ring	1	29281	publish	Speed ring
ARCPT-02	all_three	1	29284	publish	Triple Threat	1	29284	publish	Triple Threat	1	29284	publish	Triple Threat
BAN-00-01-00	all_three	1	6318	publish	BANCA LOA LAMINA	1	6318	publish	BANCA LOA LAMINA	1	6318	publish	BANCA LOA LAMINA
BAN-00-02-00	all_three	1	6389	publish	BANCA VELETA	1	6389	publish	BANCA VELETA	1	6389	publish	BANCA VELETA
BAN-00-04-00	all_three	1	6810	publish	BANCA CON PERFILES	1	6810	publish	BANCA CON PERFILES	1	6810	publish	BANCA CON PERFILES
