product_id	product_sku	product_name	product_status	description_text	short_description_text	specifications_text	specifications_source	specifications_confidence	classification_notes
32303	MER-PR-05-00	Juego BRITANIA	publish	Panel gato de plastipanel, telescopio/binoculares , trepadero niño, tubo bombero, escalera de cuerda , 1 resbaladilla de compuesto plástico reforzado alt. 1.20 m, resbaladilla de compuesto plástico reforzado de alt. 1.50 m, resbaladilla de compuesto plástico reforzado alt. 1.80 m, 1 tobogan caracol de compuesto plástico reforzado, 1 barandal con figuras de plastipanel, tubo comunicador con burbuja acrílica, 2 paneles O con burbuja acrílica, trepadero mariposa, 2 techos de lámina curvos, pasamanos círculos curvo Anclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm2 Colores: a elegir 2 colores acero, 1 color Compuesto Plastico Reforzado, 1 color plastipanel. Observaciones: * La resbaladilla puede ser de olas o recta, dependiendo de disponibilidad. El color del plástico se asigna conforme a disponibilidad de fábrica. ** Los accesorios de plastipanel no se eligen individualmente; únicamente se seleccionan paneles completos Especificaciones		Dimensiones: Largo: 8.95 mts Ancho: 7.15 mts Alto: 4.5 mts Área segura: 8.90 mts x 12.45 mts Capacidad: 35 niños Edad: 6 - 12 años	post_content_split	high	
32304	MEC-CR-02-00	Juego ESPAÑA	publish	Panel gato plastipanel, telescopio/binoculares, puente arco, puente curvo, panel O con burbuja acrílica, trepadero niño, túnel de redoldo, trepadero árbol, escalador círculo, escalera de acceso de 90cm, 2 techos “Valley Roof” de compuesto plastico reforzado, 2 barandales con figuras de plastipanel, pasamanos ida y vuelta, resbaladilla ancha de compuesto plástico reforzado alt. 0.90 m , resbaladilla compuesto plástico reforzado de alt. 1.80 m, tobogan caracol de compuesto plástico reforzado, 2 resbaladillas de compuesto platico reforzado de alt. 1.20m Anclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm2 Colores: a elegir 2 colores acero, 1 color Compuesto Plastico Reforzado, 1 color plastipanel. Observaciones: * La resbaladilla puede ser de olas o recta, dependiendo de disponibilidad. El color del plástico se asigna conforme a disponibilidad de fábrica. ** Los accesorios de plastipanel no se eligen individualmente; únicamente se seleccionan paneles completos Especificaciones		Dimensiones: Largo: 11 mts Ancho: 8.78 mts Alto: 4.1 mts Área segura: 11.10 mts x 13.60 mts Capacidad: 55 niños Edad: 6 - 12 años	post_content_split	high	
32305	MEV-CR-01-00	Juego IBIZA	publish	Acceso pasapies curvo, 1 Resbaladilla de plastico rotomoldeado alt.1.20 m, agarraderas verticales de plastipanel para salida de bajada, pasamanos recto, columpio 3 canastillas, techo curvo de lámina. Anclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm2 Colores: a elegir 2 colores acero. Observaciones: * La resbaladilla puede ser de olas o recta, dependiendo de disponibilidad. El color del plástico se asigna conforme a disponibilidad de fábrica. ** Los accesorios de plastipanel no se eligen individualmente; únicamente se seleccionan paneles completos. Especificaciones		Dimensiones: Largo: 5.9 mts Ancho: 4.34 mts Alto: 4 mts Área segura: 5.95 mts x 6.15 mts Capacidad: 14 niños Edad: 6 - 12 años	post_content_split	high	
32319	EJE-EST-09-00	EJERCITADOR BARRAS DOMINADAS Y DOS POSTES	publish	Barra con 4 posiciones para dominadas. Sistema modular con abrazaderas. Anclaje: Enterrar a 30cm Colores: a elegir 2 colores de acero Especificaciones		Dimensiones: Largo: 1.20 m Ancho: 0.65 m Alto: 2.60 m Área de seguridad: 2.20 m x 1.65 m Capacidad: 1 persona Edad: + 13 años	post_content_split	high	
32321	EOS-IN-04-01	Juego INDIANA INCLUSIVO	publish	4 megafonos, 1 resbaladilla twist,1 acceso aros, 2 paneles gato de plastipanel, 1 escalador curvo, 1 puente escalera, 3 paneles O con burbuja acrílica, 1 pasamanos aros, 2 rampas de acceso, 2 techos horizontales de plastico rotomoldeado, 3 paneles interactivos, 2 trepaderos mariposa, 2 agarraderas verticales de plastipanel, 2 barandales con figuras de plastopamel, 1 resbaladilla de plastico rotomoldeado de alt. 1.80 m, 2 Techos curvos de lámina, 2 resbaladilla deplastico rotomoldeado alt. 0.90 m Anclaje: Enterrar a 30 cm Colores: A elegir 2 colores acero, 2 colores plastipanel. Especificaciones		Dimensiones: Largo: 17.30 m Ancho: 12.75 m Alto: 4.25 m Área segura: 20.90 m x 16.35 m Capacidad: 56 niños. Edad: 6 a 12 años	post_content_split	high	
32324	MER-PR-04-00	Juego PARIS	publish	Banca de plastipanel y pvc, rapel rocas, panel gato, puente curvo, resbaladilla twist de plástico, acceso pasapies, 2 techos de lámina curvos. agarradera horizontal plastipanel, resbaladilla de plastico alt 1.20 m, 3 barandales con figuras de plastipanel Anclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm2 Colores: a elegir 2 colores acero Observaciones: * La resbaladilla puede ser de olas o recta, dependiendo de disponibilidad. El color del plástico se asigna conforme a disponibilidad de fábrica. ** Los accesorios de plastipanel no se eligen individualmente; únicamente se seleccionan paneles completos Especificaciones		Dimensiones: Largo: 8.85 mts Ancho: 3.85 mts Alto: 4.5 mts Área segura: 7.20 mts x 10.10 mts Capacidad: 26 niños Edad: 6 - 12 años	post_content_split	high	
32325	MER-PR-08-00	Juego RANDOLPH	publish	Resbaladilla de plásticorotomoldeado alt. 1.20 m, resbaladilla de plástico rotomoldeado alt. 1.80 m, columpio 2 canastillas, 4 agarraderas verticales de plastipanel, escalera de acceso 90cm, resbaladilla twist de plástico rotomoldeado, puente escalera, techo de lámina curvo, barandal con figuras de plastipanel, barandales de acero, esfera. Anclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm2 Colores: a elegir 2 colores acero Observaciones: * La resbaladilla puede ser de olas o recta, dependiendo de disponibilidad. El color del plástico se asigna conforme a disponibilidad de fábrica. ** Los accesorios de plastipanel no se eligen individualmente; únicamente se seleccionan paneles completos Especificaciones		Dimensiones: Largo: 8.55 mts Ancho: 4.6 mts Alto: 4.5 mts Área segura: 7.20 mts x 9.25 mts Capacidad: 27 niños Edad: 6 - 12 años	post_content_split	high	
32326	MER-PR-01-00	Juego ARKANSAS	publish	2 Resbaladillas de plástico rotomoldeado alt. 0.90 m, columpio con 2 canastillas, 4 agarraderas verticales plastipanel, 1 barandal con figuras de plastipanel ,escalera, panel gato de plastipanel, puente curvo con barandales curvos y firugras de plastipanel, puente escalera, panel O con burbuja acrílica , resbaladilla twist de plastico rotomoldeado techo horizontal de plástico rotomoldeado. Anclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm2 Colores: a elegir 2 colores acero Observaciones: * La resbaladilla puede ser de olas o recta, dependiendo de disponibilidad. El color del plástico se asigna conforme a disponibilidad de fábrica. ** Los accesorios de plastipanel no se eligen individualmente; únicamente se seleccionan paneles completos Especificaciones		Dimensiones: Largo: 11.68 mts Ancho: 4.78 mts Alto: 4.5 mts Área segura: 8.40 mts x 12.75 mts Capacidad: 43 niños Edad: 6 - 12 años	post_content_split	high	
32328	MEC-CR-07-00	Juego IMPERIO	publish	6 resbaladilla de plastico alt. 0.90 m, 4 resbaladilla de plástico alt. 1.20m, 4 tubos comunicadores con burbuja acrílica, 2 resbaladillas twist de plastico rotomoldeado, 3 paneles O con burbuja acrílica,16 plataformas cuadradas, 13 plataformas triangulares, 2 toboganes de compuesto plastico reforzado,8 barandal con 2 figuras de plastipanel, 2 barandal trepadero, acceso pasapies, trepadero espiral, 10 barandal rectos, 2 paneles gato de plastipanel, trepadero araña, 2 escalera para bajada twist, 3 escaleras de acceso con barandal, 1 rapel de piedras, 4 bancas con plastipanel y pvc, panel foto temático, 4 puentes curvos con barandales, 1 pasapies curvo, 2 banderas, 6 techos horizontales de plastico rotomoldeado, 1 acceso ovalado Anclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm2 Colores: a elegir 2 colores acero, 1 color plastipanel, 1 color compuesto plastico reforzado, elegir modelo de panel foto Observaciones: * La resbaladilla puede ser de olas o recta, dependiendo de disponibilidad. El color del plástico se asigna conforme a disponibilidad de fábrica. ** Los accesorios de plastipanel no se eligen individualmente; únicamente se seleccionan paneles completos Especificaciones		Dimensiones: Largo: 22.1 mts Ancho: 10.24 mts Alto: 4.1 mts Área segura: 12.60 mts x 25.3 mts Capacidad: 116 niños Edad: 6 - 12 años	post_content_split	high	
32329	TEM-PR-07-20	Juego TREN	publish	2 escalera vertical, 2 puentes pasapies inclinado, pasapies curvo, escalador acceso frontal, escalador de piedras, tunel de redondo, tubo bombero, puente recto,2 paneles gato de plastipanel, 16 llantas grandes de lámina con vinil, 4 llantas chicas de lámina con vinil, 16 plataformas cuadradas, 2 Resbaladillas de plastico alt. 1.20 m, 2 resbaladilla de plastico rotomodeado alt. 1.50 m, 2 paneles interactivos de plastipanel, 4 techos de plastimadera estándar, 9 barandales de plastimadera estándar, Anclaje: Enterrar a 30 cm o taquetear sobre plancha de concreto con espesor de 15cm con resistencia 200kg/cm2 Colores: a elegir 2 colores acero, 1 color plastipanel, 1 color plastimadera estándar, 1 personalización logo Observaciones: * La resbaladilla puede ser de olas o recta, dependiendo de disponibilidad. El color del plástico se asigna conforme a disponibilidad de fábrica. ** Los accesorios de plastipanel no se eligen individualmente; únicamente se seleccionan paneles completos Especificaciones		Dimensiones: Largo: 18.15 mts Ancho: 6.95 mts Alto: 4.5 mts Área segura: 21.45 mts x 9.15 mts Capacidad: 65 niños Edad: 6 - 12 años	post_content_split	high	
