product_id	product_sku	product_name	product_status	description_text	short_description_text	specifications_text	specifications_source	specifications_confidence	classification_notes
6674	VL-119	Velaria Twist Malla Sombra 9.2  X 9.2 M	private		Medidas: Largo: 9.20 m Ancho: 9.20 m Alto: 5.11 m	Medidas: Largo: 9.20 m Ancho: 9.20 m Alto: 5.11 m	post_excerpt	medium	excerpt_without_explicit_specification_marker
6691	VL-219	Velaria Conica Malla Sombra 4 Puntos 9.2 X 9.2 M	private		Medidas: Largo: 9.20 m Ancho: 9.20 m Alto: 6.16 m	Medidas: Largo: 9.20 m Ancho: 9.20 m Alto: 6.16 m	post_excerpt	medium	excerpt_without_explicit_specification_marker
6693	VL-319	Sombrilla Malla Sombra 4 Puntos 3 X 3 M	private		Medidas: Largo: 3.00 m Ancho: 3.00 m Alto: 3.50 m	Medidas: Largo: 3.00 m Ancho: 3.00 m Alto: 3.50 m	post_excerpt	medium	excerpt_without_explicit_specification_marker
6697	VL-119-1	Velaria Twist Malla Sombra 6.2 X 6.2 M	private		Medidas: Largo: 6.20 m Ancho: 6.20 m Alto: 4.11 m	Medidas: Largo: 6.20 m Ancho: 6.20 m Alto: 4.11 m	post_excerpt	medium	excerpt_without_explicit_specification_marker
6699	VL-219-1	Velaria Conica Malla Sombra 4 Puntos 6.2  X 6.2 M	private		Medidas: Largo: 6.20 m Ancho: 6.20 m Alto: 5.00 m Colores:	Medidas: Largo: 6.20 m Ancho: 6.20 m Alto: 5.00 m Colores:	post_excerpt	medium	excerpt_without_explicit_specification_marker
6701	LT-1.20	Letra de lamina 1.20 m de alto con base de 30 cm	publish		Alto: 1.20 m Base: 0.30 cm Material: Metal	Alto: 1.20 m Base: 0.30 cm Material: Metal	post_excerpt	medium	excerpt_without_explicit_specification_marker
6703	LT-1.50	Letra de lamina 1.50 m de alto con base de 30 cm	publish		Alto: 1.50 m Base: 0.30 cm Material: Metal	Alto: 1.50 m Base: 0.30 cm Material: Metal	post_excerpt	medium	excerpt_without_explicit_specification_marker
6704	LET-PT-03-00	LETRA POLICARBONATO Y LUZ 2.00 M DE ALTO	publish		Medidas: 2.00 m de alto Material: Metal y acrílico	Medidas: 2.00 m de alto Material: Metal y acrílico	post_excerpt	medium	excerpt_without_explicit_specification_marker
6708	LET-PT-04-00	LETRA POLICARBONATO Y LUZ 3.00 M DE ALTO	publish		Medidas: 3.00 m de altura Material: Metal y acrílico	Medidas: 3.00 m de altura Material: Metal y acrílico	post_excerpt	medium	excerpt_without_explicit_specification_marker
6709	LET-PT-01-00	LETRA ACRILICO Y LUZ 1.20 M DE ALTO CON BASE	publish		Medidas: 1.20 m de alto Material: Metal y acrílico	Medidas: 1.20 m de alto Material: Metal y acrílico	post_excerpt	medium	excerpt_without_explicit_specification_marker
6710	LET-PT-02-00	LETRA ACRILICO Y LUZ 1.50 M DE ALTO CON BASE	publish		Medidas: 1.50 m de alto Material: Metal y acrílico	Medidas: 1.50 m de alto Material: Metal y acrílico	post_excerpt	medium	excerpt_without_explicit_specification_marker
