product_id	product_sku	product_name	product_status	product_slug	description	description_status	description_source	specifications	specification_count	specification_status	specifications_source	specifications_confidence	completeness_status	needs_review	review_reasons	content_sha256	excerpt_sha256
6414	BAN-CR-01-00	BANCA VINSONS	publish	banca-vinsons		missing		Largo: 0.35 m; Largo: 1.10 m; Ancho: 0.50 m; Alto: 0.40 m Asiento; Material: Fibra de vidrio	5	structured	post_excerpt	high	missing_description	yes	multiple_values_for_length	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c128ddb6e0e401650963877c3436b4569e8665da4beb3669aca592ab5d34617f
6701	LT-1.20	Letra de lamina 1.20 m de alto con base de 30 cm	publish	letra-de-lamina-1-20-m-de-alto-con-base-de-30-cm		missing		Alto: 1.20 m; Base: 0.30 cm; Material: Metal	3	structured	post_excerpt	medium	missing_description	yes	possible_unit_inconsistency	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	77a74042d05f3cfc997bd20b511204f6fac50130699c265b150272627be35c50
6703	LT-1.50	Letra de lamina 1.50 m de alto con base de 30 cm	publish	letra-de-lamina-1-50-m-de-alto-con-base-de-30-cm		missing		Alto: 1.50 m; Base: 0.30 cm; Material: Metal	3	structured	post_excerpt	medium	missing_description	yes	possible_unit_inconsistency	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	09294b1f56d06b07540e4aaf37bddbdebf6191d79d7f42b254959bfaf68f6357
7254	PGR-50	Piso de Loseta de Caucho Rojo Chispa	publish	piso-de-caucho-rojo-chispa		missing		Largo: 0.50 cm; Ancho: 0.50 cm; Alto: 1.15 cm / 2.5 cm /4 cm; Color: Rojo Chispa	4	structured	post_excerpt	medium	missing_description	yes	possible_unit_inconsistency	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8f120c1756bb7ab594fdec6ae5410f8e08c37834c3998b54a88e35b80e7bf0bf
7255	PGN-60	Piso de Loseta de Caucho Negro Chispa	publish	piso-de-caucho-negro-chispa		missing		Largo: 0.50 cm; Ancho: 0.50 cm; Alto: 1.15 cm / 2.5 cm /4 cm; Color: Negro Chispa	4	structured	post_excerpt	medium	missing_description	yes	possible_unit_inconsistency	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	409e7d88573614fdbdd25fa8eb085546c56cb28112c0a2ff0561504c45f3b1d3
7260	PGK-50	Piso de Loseta de Caucho Kaki	publish	piso-de-caucho-khaki-premium		missing		Largo: 0.50 cm; Ancho: 0.50 cm; Alto: 1.15 cm / 2.5 cm /4 cm; Color: Khaki premium	4	structured	post_excerpt	medium	missing_description	yes	possible_unit_inconsistency	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b7e0848d27ef7c270382133f46b1276a00fe49e60c30d3a0828a73f4e3069a94
7261	PGG-50	Piso de Loseta de Caucho Gris	publish	piso-de-caucho-gris-premium		missing		Largo: 0.50 cm; Ancho: 0.50 cm; Alto: 1.5 cm / 2.5 cm /4 cm; Color: Gris	4	structured	post_excerpt	medium	missing_description	yes	possible_unit_inconsistency	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	63c5e10935ec3b169f77a0bd4478c4580b55de058a9ad3d115af6205b618e54d
7263	PGCA-50	Piso de Loseta de Caucho Cafe	publish	piso-de-caucho-cafe-premium		missing		Largo: 0.50 cm; Ancho: 0.50 cm; Alto: 1.15 cm / 2.5 cm /4 cm; Color: Café	4	structured	post_excerpt	medium	missing_description	yes	possible_unit_inconsistency	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	74453f15fabd417ac1a165829aa37564a761d916822e637579576a8d1272a402
22188	DEP-MO-01-00	2 BANCAS DE ARBITROS CON TECHUMBRE	publish	2-bancas-de-arbitros-con-techumbre		missing		Largo: 1.60 m; Ancho: 1.15 m; Alto: 2.15 m; Área mínima: 2 personas *Bancas plásticas y Techo de policarbonato; Área mínima: 2.60 m × 1.15 m	5	structured	post_excerpt	high	missing_description	yes	multiple_values_for_minimum_area	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d0e503493a117b18e40248ddf683d0c8d089a2c94c3f2bd85bbc9149624f47ff
32089	OKOK-N01	EJERCITADOR CINTURA Y ESCALERAS OK	publish	cintura-y-escalera	Anclaje: Enterrar a 30 cm*Medidas de referencia, el producto puede tener una variación de 3 cm aproximadamente.EspecificacionesDimensiones: Largo: 1.15 m Ancho: 0.60 m Alto: 1.40 mÁrea de seguridad:: 2.30 m x 1.70 mCapacidad: 2 personasEdad: +13 años.	present	post_content		0	missing		none	missing_specifications	yes	technical_content_without_clear_boundary	606dd714823f5e4e6eec4a0200140b6d7134ea357c18e3b7d84113991c222f00	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
32204	OKST-J02X	EJERCITADOR POTRO	publish	potro-raider	Anclaje: Enterrar a 30 cmColor: No personalizable. Se vende con colores mencionados.*Medidas de referencia, el producto puede tener una variación de 3 cm aproximadamente.EspecificacionesDimensiones:Largo: 1.60 m Ancho: 0.60 m Alto: 1.16 mÁrea de seguridad:: 2.15 m x 1.75 mCapacidad: 1 personaEdad: +13 años.	present	post_content		0	missing		none	missing_specifications	yes	technical_content_without_clear_boundary	09d169d67163d8687728f2fe33f6e5113bdda50b258f52a2b114e22b23a465e6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
32209	OKST-C01X	EJERCITADOR SURFER OK DOBLE	publish	surfeando	Anclaje: Enterrar a 30 cm*Medidas de referencia, el producto puede tener una variación de 3 cm aproximadamente.EspecificacionesDimensiones: Largo: 1.13 m Ancho: 0.76 m Alto: 1.56 mÁrea de seguridad:: 2.90 m x 1.65 mCapacidad: 2 personasEdad: +13 años.	present	post_content		0	missing		none	missing_specifications	yes	technical_content_without_clear_boundary	861916bb05546f9e8478221bfa8fa090d5c2e2ec4663f92ca1d4143e319307b8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
32210	OKST-Z04X	EJERCITADOR BRAZOS OK DOBLE	publish	ejercitador-de-brazo	Anclaje: Enterrar a 30 cm*Medidas de referencia, el producto puede tener una variación de 3 cm aproximadamente.EspecificacionesDimensiones:Largo: 2.10 m Ancho: 0.75 m Alto: 1.70 mÁrea de seguridad:: 3.70 m x 1.85 mCapacidad:2 personasEdad: +13 años.	present	post_content		0	missing		none	missing_specifications	yes	technical_content_without_clear_boundary	acd52ae7a8fc3c9754d04347209bfe4f873eb590ea5c3db5b654ac88d09cf778	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
32212	OKST-Z03X	EJERCITADOR DE PECHO OK DOBLE	publish	ejercitador-de-pecho	Anclaje: Enterrar a 30 cm*Medidas de referencia, el producto puede tener una variación de 3 cm aproximadamente.EspecificacionesDimensiones:Largo:1.63 m Ancho: 0.69 m Alto: 2.17mÁrea de seguridad:: 3.75 m x 1.85 mCapacidad: 2 personasEdad: +13 años.	present	post_content		0	missing		none	missing_specifications	yes	technical_content_without_clear_boundary	269f265391485d7436352ec9495bfd7347cf717d596820fc7bb48ff7340401f6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
