product_id	product_sku	product_name	product_status	product_slug	description	description_status	description_source	specifications	specification_count	specification_status	specifications_source	specifications_confidence	completeness_status	needs_review	review_reasons	content_sha256	excerpt_sha256
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	forte-ejercitador-de-brazos		missing		Largo: 2.60 m; Ancho: 0.90 m; Alto: 2.00 m; Área mínima: 3.60 m × 1.90 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a05894b9d7de8ccc8833b9d40b079bf9edb06b2480db6e07d16e9120e321e814
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	forte-piernas		missing		Largo: 2.20 m; Ancho: 0.60 m; Alto: 2.00 m; Área mínima: 3.60 m × 1.90 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	09ede704c96093cec3beed7e34addcfa5c5d89ef1ea62661fdff0b0081e9cc07
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	forte-ejercitador-de-pecho		missing		Largo: 2.55 m; Ancho: 0.70 m; Alto: 2.00 m; Área mínima: 3.60 m × 1.90 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e274d8a80ba4a7a1804acb7da601a124df1590ea29f97d5791afb2050edebbd0
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	forte-eliptica		missing		Largo: 2.95 m; Ancho: 0.90 m; Alto: 2.00 m; Área mínima: 4.00 m × 1.90 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2e3f8c038b4c7023acfa9b896eb29248d2b45673a9e2f93d0e286aa4defb9684
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	forte-caminadora		missing		Largo: 2.65 m; Ancho: 0.75 m; Alto: 2.00 m; Área mínima: 3.45 m × 1.10 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8ab1aaf9eb3f3f171b49a170c3a96e2a99937b26e615b7795073f90bc60094db
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	forte-cintura		missing		Largo: 1.85 m; Ancho: 0.75 m; Alto: 2.00 m; Área mínima: 2.60 m × 1.90 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7ba9cb14ede59e1c19c50717c7f2240d702cebc15a1491035e6ac60a8ac8e310
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish	forte-brazos-y-munecas		missing		Largo: 1.75 m; Ancho: 1.00 m; Alto: 2.00 m; Área mínima: 2.70 m × 2.00 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	55f66df2b73925aaa0a0ebaf1a0f5618e236a33f081a8c55958dcb5bc08b989d
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish	forte-potro		missing		Largo: 1.85 m; Ancho: 1.15 m; Alto: 2.00 m; Área mínima: 2.80 m × 2.60 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b57ec531484cfa0e26b39309c861fba4a973c440465cc3bd64092aaaf0a7a255
6203	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	publish	forte-abdominales		missing		Largo: 1.50 m; Ancho: 1.35 m; Alto: 2.00 m; Área mínima: 3.00 m × 2.45 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	12a4620bde4674cb05146edec861f23f98d560697af37842585f2d1f39cd56d6
6205	BOT-LP-07-00	BOTE TOKYO	publish	tokyo		missing		Largo: 0.60 m; Ancho: 0.40 m; Alto: 0.90 m; Capacidad: 80 personas	4	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	42c48900b2c00c503cd8e7ccf30a6a8c73f6f31ce6f6d4575ec4e87fd3b64a3c
6207	BOT-00-01-00	BOTE CENTRO HISTORICO	publish	bote-centro-historico		missing		Largo: 0.40 m; Ancho: 0.30 m; Alto: 1.25 m; Capacidad: 30 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	00bc57232b1dbb72b38a2a6fd87f4df221124ac4ad56b6744a9df1809a37ca32
6210	BOT-LP-03-00	BOTE GRIJALVA	publish	bote-grijalva		missing		Largo: 0.55 m; Ancho: 0.40 m; Alto: 1.00 m; Capacidad: 70 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	160d12c6a9edb753bffb52d6e6d243384f20133444cf4ff5dcc9518f71481657
6218	BOT-00-03-00	BOTE MOSCOVA	publish	bote-moscova		missing		Largo: 0.40 m; Ancho: 0.40 m; Alto: 1.15 m; Capacidad: 65 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f3c4ca41d47b847f65681a7d07685f2fe2cf5267b34247ef098c3a04a1e64bcc
6220	EJE-ID-03-00	EJERCITADOR BARRAS PARALELAS CURVAS	publish	barras-paralelas-curvas		missing		Largo: 2.60 m; Ancho: 0.75 m; Alto: 1.10 m; Área mínima: 4.60 m × 1.75 m; Capacidad: 2 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e44ff95d9a23d815115dd785aa917d4014ace06777d30b7f3b98a35bd852ebd1
6230	BOT-LP-02-00	BOTE OKA	publish	bote-oka-troquelada		missing		Largo: 0.50 m; Ancho: 0.35 m; Alto: 0.90 m; Capacidad: 105 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cbf97cb42f1299f3d680f2b0cd68f9d3cfd9474fcedf9e7976466eee471272f7
6233	EJE-ID-07-00	EJERCITADOR BARRAS	publish	conjunto-de-barras		missing		Largo: 5.05 m; Ancho: 0.10 m; Alto: 2.60 m; Área mínima: 6.05 m × 1.10 m; Capacidad: 4 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c2ddbdead8a16f6cc3cd48d6c83c88c5bbe02072fded93e374cdeae54558dfb3
6236	BOT-00-02-00	BOTE KUMA	publish	bote-kuma		missing		Largo: 0.45 m; Ancho: 0.40 m; Alto: 1.00 m; Capacidad: 69 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1383e82a1cefec6a44d2675581d04a16ffd531cfee5672bb4278e8b80f159da6
