product_id	product_sku	product_name	product_status
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish
6203	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	publish
6205	BOT-LP-07-00	BOTE TOKYO	publish
6207	BOT-00-01-00	BOTE CENTRO HISTORICO	publish
6210	BOT-LP-03-00	BOTE GRIJALVA	publish
6218	BOT-00-03-00	BOTE MOSCOVA	publish
6220	EJE-ID-03-00	EJERCITADOR BARRAS PARALELAS CURVAS	publish
6230	BOT-LP-02-00	BOTE OKA	publish
6233	EJE-ID-07-00	EJERCITADOR BARRAS	publish
6236	BOT-00-02-00	BOTE KUMA	publish
6243	BOT-LP-03-01	BOTE GRIJALVA DOBLE	publish
6247	BOT-LP-05-00	BOTE ZAIRE	publish
6251	BOT-LP-04-00	BOTE RIN	publish
6254	EJE-ID-11-00	EJERCITADOR AROS LARGO Y 2 POSTES	publish
6255	BOT-LP-04-01	BOTE RIN DOBLE	publish
6256	BOT-LP-04-02	BOTE RIN TRIPLE	publish
6260	BOT-LP-01-00	BOTE PARANA	publish
6264	BOT-LP-05-01	BOTE MISISIPI	publish
6267	BOT-00-05-00	BOTE CUADRADO	publish
6271	BOT-PM-01-00	BOTE CIRCULAR	publish
6278	BOT-PL-01-00	BOTE ONON	publish
6283	BAN-00-09-00	BANCA HIMALAYA	publish
6285	EJE-EST-02-00	Ejercitador Pasamanos Y 6 Postes	publish
6288	BAN-LP-07-00	BANCA EVEREST	publish
6293	BAN-PP-01-00	BANCA PMP PLASTIMADERA	publish
6312	BAN-LP-06-00	BANCA CIRCULAR	publish
6318	BAN-00-01-00	BANCA LOA LAMINA	publish
6330	BAN-LP-04-00	BANCA AKIER	publish
6335	BAN-LP-03-00	BANCA PALERMO	publish
6345	EJE-ID-30-00	Private: Ejercitador Barras Dominadas Y 3 Postes (AID-1918)	private
6346	BAN-00-07-00	BANCA ALPES	publish
6350	BAN-00-05-00	BANCA PISSIS	publish
6353	EJE-ID-32-00	EJERCITADOR JUMP BOX	publish
6360	BAN-PM-05-00	BANCA PARA BOLERO	publish
6370	MES-LP-05-00	MESA RODAS CON TECHO CIRCULAR	publish
6389	BAN-00-02-00	BANCA VELETA	publish
6390	BAN-PP-09-00	BANCA MIKENO	publish
6400	BAN-MS-03-01	BANCA TINDAYA SIN RESPALDO	publish
6414	BAN-CR-01-00	BANCA VINSONS	publish
6426	BAN-CR-02-00	BANCA DEVI	publish
6431	MES-PM-01-00	MESA DE PICNIC PLASTIMADERA	publish
6433	MES-LP-03-00	MESA NUPTSE	publish
6435	MES-LP-02-00	MESA KENYA	publish
6436	MES-LP-02-01	MESA KENYA CON SOMBRILLA	publish
6438	MES-PM-02-00	MESA KENYA PLASTIMADERA	publish
6443	MES-LP-06-00	MESA PICNIC JAYA	publish
6445	APA-00-05-00	APARCABICICLETA ONE RECTANGULAR	publish
6448	APA-00-06-00	APARCABICICLETA SIX ONDULADO	publish
6465	EJE-PE-01-00	EJERCITADOR BARRA DE PESAS	publish
6467	APA-00-01-00	APARCABICICLETA ONE CURVO	publish
6470	EJE-PE-02-00	EJERCITADOR PECHO Y ESPALDA CON PESAS	publish
6472	APA-00-03-00	APARCABICICLETA ONE SEMIONDULADO	publish
6474	APA-00-07-00	APARCABICICLETA THREE TRIANGULAR	publish
6482	SEÑ-00-13-00	SEÑALETICA ARBOL	publish
6484	SEÑ-00-04-00	SEÑALETICA CUBICA	publish
6486	SEÑ-00-03-00	SEÑALETICA BASTON	publish
6488	SEÑ-00-05-00	Señalética Bandera (ESI-312)	publish
6490	SEÑ-00-06-00	SEÑALETICA VERTICAL	publish
6494	COL-IN-03-00	COLUMPIO CON CAMASTRO DE PLASTIPANEL	publish
6506	MMA-117	Maceta Asimetrica Chica	publish
6507	MMA-217	Maceta Geometrica Grande	publish
6509	MMA-118	Maceta Geométrica Megagrande	publish
6513	INOX-517B	Banca Loa Inox	draft
6520	BOT-IX-02-00	BOTE GRIJALVA DOBLE CON TAPA	publish
6526	CMT-118B	Banca Tikal	publish
6528	CMT-218B	Banco Angkor	publish
6531	BOL-00-01-00	BOLARDO METALICO	publish
6536	EJE-IN-02-00	EJERCITADOR MUÑECAS DOBLE INCLUSIVO	publish
6538	BOL-00-03-00	BOLARDO TRIANGULAR	publish
6540	BOL-00-02-00	BOLARDO CUADRADO	publish
6543	EJE-IN-03-00	EJERCITADOR BRAZOS Y PIERNAS DOBLE INCLUSIVO	publish
6546	EJE-IN-04-00	EJERCITADOR COMBINADO DE BRAZOS Y MUÑECAS INCLUSIVO	publish
6557	EJE-IN-07-00	EJERCITADOR DOMINADAS EN BARRA FORTE INCLUSIVO	publish
6561	EJE-IN-08-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE INCLUSIVO	publish
6564	EJE-IN-09-00	EJERCITADOR BRAZOS, MUÑECAS Y HOMBROS INCLUSIVO	publish
6569	BUS-LP-01-00	PARABUS LONG	publish
6575	BUS-TP-02-00	PARABUS FULL	publish
6577	FUMR-319	Fuente lineal 4 salidas, 4 jet, 2 m altura	publish
6578	FUMR-319-1	Fuente lineal 4 salidas, 4 jet 3 m altura	publish
6579	FUMR-319A	Fuente lineal 4 salidas, 2 jet y 2 aspersor 2 m altura	publish
6580	REH-00-02-00	RAMPA PARA REHABILITACION	publish
6582	FUMR-319A-1	Fuente lineal 4 salidas, 2 jet y 2 aspersor 3 m altura	publish
6583	REH-00-03-00	ESCALERA PARA REHABILITACION	publish
6585	REH-00-08-00	CONJUNTO DE REHABILITACIÓN A	publish
6589	REH-00-07-00	CONJUNTO DE REHABILITACIÓN B	publish
6596	FUMR-419	Fuente redonda 5 salidas, 5 jet 2 m altura	publish
6597	FUMR-419-1	Fuente redonda 5 salidas, 5 jet 3 m altura	publish
6598	FUMR-519	Fuente redonda 7 salidas, 7 jet 2 m altura	publish
6599	FUMR-519-1	Fuente redonda 7 salidas, 7 jet 3 m altura	publish
6600	FUMR-619A	Fuente redonda 9 salidas, 8 jet y 1 aspersor 2 mts altura	publish
6601	FUMR-619-1A	Fuente redonda 9 salidas, 8 jet y 1 aspersor 3 mts altura	publish
6602	FUMR-119-C	Cascada digital	publish
6603	FUMR-119E-C	Private: Cascada digital metro extra	private
6604	PIL-PT-04-00	LUMIN FULGOR 2M ALTURA	publish
6610	PIL-PT-03-00	LUMIN ALBA 2.5M ALTURA	publish
6647	DEP-MO-02-00	11 BANCAS DE JUGADORES CON TECHUMBRE	publish
6653	DEP-00-06-00	TABLERO DE BÁSQUETBOL	publish
6661	DEP-MO-03-00	GRADAS TECHADAS 5 ASIENTOS Y 4 DESCANSA PIES	publish
6664	DEP-00-09-00	PORTERIA FÚTBOL RAPIDO	publish
6674	VL-119	Private: Velaria Twist Malla Sombra 9.2  X 9.2 M	private
6683	DEP-00-12-00	CANCHA CIRCULAR DE FUTBOL RAPIDO	publish
6686	DEP-00-10-00	PORTERIA DE FÚTBOL PROFESIONAL	publish
6689	DEP-MO-05-00	MESA DE AJEDREZ	publish
6691	VL-219	Private: Velaria Conica Malla Sombra 4 Puntos 9.2 X 9.2 M	private
6693	VL-319	Private: Sombrilla Malla Sombra 4 Puntos 3 X 3 M	private
6697	VL-119-1	Private: Velaria Twist Malla Sombra 6.2 X 6.2 M	private
6699	VL-219-1	Private: Velaria Conica Malla Sombra 4 Puntos 6.2  X 6.2 M	private
6701	LT-1.20	Letra de lamina 1.20 m de alto con base de 30 cm	publish
6703	LT-1.50	Letra de lamina 1.50 m de alto con base de 30 cm	publish
6704	LET-PT-03-00	LETRA POLICARBONATO Y LUZ 2.00 M DE ALTO	publish
6708	LET-PT-04-00	LETRA POLICARBONATO Y LUZ 3.00 M DE ALTO	publish
6709	LET-PT-01-00	LETRA ACRILICO Y LUZ 1.20 M DE ALTO CON BASE	publish
6710	LET-PT-02-00	LETRA ACRILICO Y LUZ 1.50 M DE ALTO CON BASE	publish
6712	TEC-AC-01-00	TECHO SOMBRA DE COLOR 12 ACRILICO	publish
6715	TEC-PT-02-00	TECHO SOLAR	publish
6721	BAN-PM-10-00	BANCA CENTRO HISTORICO CON PLASTIMADERA	publish
6728	DEP-00-11-00	RED Y 2 POSTES DE VOLEIBOL	publish
6731	CAN-PL-07-00	BANCA DE HUESO CANINO	publish
6736	CAN-PL-01-00	TUNEL CANINO	publish
6739	CAN-PL-12-00	RAMPA CANINA	publish
6741	CAN-PL-06-00	VALLAS CANINO	publish
6747	CAN-PL-10-00	BALANCIN CANINO	publish
6748	CAN-PL-02-00	AROS CANINO	publish
6750	CAN-PL-15-00	BEBEDERO CANINO	publish
6752	CAN-PL-05-00	SALTO DOBLE CANINO	publish
6755	CAN-PL-11-00	MESA CANINA	publish
6757	CAN-PL-08-00	GRADAS CANINO	publish
6763	CAN-PM-01-00	PASARELA CANINO	publish
6810	BAN-00-04-00	BANCA CON PERFILES	publish
6820	MUM-118-1-1	Private: Mesa de Picnic	private
6916	TRE-CU-03-01	TREPADERO PIRAMIDE CHICA	publish
6918	TRE-CU-05-00	TREPADERO TRIKON	publish
6920	TRE-PL-01-00	TREPADERO GEODESICO	publish
6928	TRE-00-02-00	TREPADERO TRIPLEX	publish
6930	TRE-00-03-00	TREPADERO MEDIA ESFERA	publish
6934	TRE-TM-02-00	TREPADERO DINOSAURIO	publish
6942	TRE-TM-03-00	TREPADERO BALLENA	publish
6944	TRE-TM-05-00	TREPADERO TORTUGA	publish
6962	COL-AB-10-00	COLUMPIO RESIDENCIAL 2 CANASTILLAS	publish
6964	CON-CR-04-00	CONJUNTO RESIDENCIAL, COLUMPIOS Y BAJADA COMPUESTO PLASTICO REFORZADO 2.40M	publish
6972	GIR-00-01-00	GIRATORIO ORBIT S	publish
6985	IRE-PL-05-00	MONTABLE GLOBFLEX	publish
6992	IRE-PL-01-00	MONTABLE ABEJA	publish
6994	IRE-00-01-00	MONTABLE BASICO	publish
6997	IRE-PL-03-00	MONTABLE MOTO	publish
7000	IRE-PL-08-00	MONTABLE DELFIN	publish
7003	IRE-PL-02-00	MONTABLE CAMION	publish
7009	RES-PL-04-00	RESBALADILLA RACER	publish
7012	RES-00-01-00	RESBALADILLA LAM DE 2.40MT	publish
7014	RES-00-02-00	RESBALADILLA LAMINA DE 3MT	publish
7017	RES-PP-01-00	RESBALADILLA OLAS DE PLASTICO	publish
7039	SUB-00-01-01	SUBE Y BAJA DOBLE	publish
7043	SUB-00-01-02	SUBE Y BAJA TRIPLE	publish
7044	MES-PT-02-00	Mesa Iluminada para Arena (PTJ-MIS-320)	draft
7047	SUB-00-01-00	SUBE Y BAJA SENCILLO	publish
7060	SUB-00-02-01	SUBE Y BAJA PULPO	publish
7065	SUB-PL-01-00	SUBE Y BAJA BALLENA	publish
7066	SUB-00-02-02	SUBE Y BAJA PULPO TRIPLE	publish
7077	COL-CR-03-00	Pasamanos Curvo con Canastilla Compuesto Plástico Reforzado	publish
7081	PAS-00-01-00	PASAMANOS IDA Y VUELTA	publish
7086	PAS-00-02-00	PASAMANOS ONDULADO 2 x 3 MTS.	publish
7089	PAS-00-03-00	PASAMANOS RECTO 2 X 3 MTS.	publish
7091	INT-PL-04-00	PANELES INTERACTIVOS	publish
7100	INT-PL-02-00	PANEL INTERACTIVO MUÑECOS	publish
7103	INT-PL-03-00	PANEL INTERACTIVO LABERINTO	publish
7137	JAM-119	AQUA JUM1	publish
7145	JAM-219	AQUA JUM2	publish
7150	JAM-319	AQUA JUM3	publish
7153	JAM-419	AQUA JUM4	publish
7156	JAM-519	AQUA JUM5	publish
7167	JAI-419	ARCO SPRAY	publish
7169	JAI-519	Bolardo Spray	publish
7171	JAI-619	SPRAY S	publish
7173	JAI-819	PALMERA LLUVIA	publish
7177	JAI-919	SOMBRILLA LLUVIA	publish
7224	PASART-25	Pasto Artificial 25mm de altura	publish
7228	PASART-45	Pasto Artificial 45mm de altura	publish
7230	PASART-45-BL	Pasto Artificial 45mm de altura 850grs Color Blanco	publish
7232	PASART-45-AM	Pasto Artificial 45 mm de altura 850grs Color Amarillo	publish
7233	PASART-45-RO	Pasto Artificial 45 mm de altura 850grs Color Rojo	publish
7235	PASART-45-AZ	Pasto Artificial 45 mm de altura 850grs Color Azul	publish
7243	PTJ-MGB-220	Dexia Bote con iluminacion	publish
7254	PGR-50	Piso de Loseta de Caucho Rojo Chispa	publish
7255	PGN-60	Piso de Loseta de Caucho Negro Chispa	publish
7260	PGK-50	Piso de Loseta de Caucho Kaki	publish
7261	PGG-50	Piso de Loseta de Caucho Gris	publish
7262	MUA-217 A-P	Banca fuji A.	draft
7263	PGCA-50	Piso de Loseta de Caucho Cafe	publish
7265	MUA-217 B-P	Banca fuji B.	draft
7266	PGN-50	Piso de Loseta de Caucho Negro	publish
7269	LBGR-50	Loseta Burbuja Terracota	publish
7272	LBGA-50	Loseta Burbuja Azul Marino	publish
7273	LBGV-50	Loseta Burbuja Verde	publish
7278	INOX-214B	Private: Aparcabicicleta Two Circular	private
7292	BAN-CR-04-00	BANCA VINSONS KLEIN	publish
7303	JAI-719	PULPO SPRAY	publish
7307	PPR1-2-1	Private: Jumbo Rubber Sport Tipo Tartan A 13 mm	private
7383	EL-118-4C	INFINITO	publish
7411	COL-PT-02-00	COLUMPIO LUCENDI	publish
7425	PIL-PT-02-00	LIGHT PILLAR	publish
7442	BAN-PT-06-00	Private: Banca de Luz (PTJ-BL)	private
7443	TUN-PT-01-00	TUNEL DE LUZ	publish
7445	BAN-PT-04-00	BANCA LUCENDI	publish
7446	BAN-PT-05-00	BANCA MEDIA LUNA LUCENDI	publish
7458	TEM-PR-09-00	Juego HORMIGUERO	publish
7463	TRE-CU-07-00	TREPADERO VITEX	publish
7464	TRE-CU-09-00	TREPADERO SALIX	publish
7466	RES-PP-01-01	RESBALADILLA TRIPLE OLAS DE PLASTICO	publish
7467	INT-PL-06-00	LABERINTO SENSORIAL	publish
7479	BAN-PL-02-00	BANCA ONON	publish
7491	MES-LP-01-01	MESA MERCATO DOPPIO	publish
7496	SEÑ-00-10-00	SEÑALETICA DIRECCIÓN	publish
7505	BUS-00-01-00	PARABUS TECH	publish
7513	CAN-PL-09-00	MINI RAMPA CANINO	publish
7780	COL-AB-01-00	COLUMPIO PP EN A CON 2 ASIENTOS DE BANDA	publish
7781	COL-AS-01-00	COLUMPIO PP EN A CON 2 ASIENTOS DE SEGURIDAD	publish
7783	COL-AB-03-00	COLUMPIO PP EN U CON 3 ASIENTOS DE BANDA	publish
7789	COL-BS-01-00	COLUMPIO CANGURO	publish
7791	COL-AB-06-00	COLUMPIO KRONE	publish
7819	IRE-PL-04-00	MONTABLE CABALLITO	publish
