product_id	product_sku	product_name	product_status	content_preview	excerpt_preview
7269	LBGR-50	Loseta Burbuja Terracota	publish		Color: Terracota
7416	PPG1-3	JUMBO RUBBER SPORT PG1 A 3 MM	publish	Elaborado con caucho triturado aglutinado con resinas látex de la mas alta calidad compuesta por dos capas, una que sirve como rectificador de la superficie de asfalto o de concreto de 1 mm y otra de tracción amortiguante de 2 mm	Para colocar en: Trotapistas Ciclopistas Andadores
28389			draft		
29376		Private: Banco Cubo	private		
30487	KOM-COR203301-1101	Twister inclusivo	publish		
30490	KOM-ELE400024-3717F	Spinner bowl	publish		
30492	KOM-PCM157-0205	Carrusel inclusivo	publish		
30494	KOM-PCM153-0902	Carrusel 3 asientos	publish		
30496	KOM-PCM159-1001	Wehopper	publish		
30498	KOM-M98401-1011	Columpio péndulo	publish		
30500	KOM-BLX410501-3717	Bloqx 5	publish		
30502	KOM-GXY916021-3417	Supernova	publish		
30504	KOM-PCM200432-0901	Mega deck doble con torre	publish		
30506	KOM-CRP812001-0404	Domo sensorial	publish		
30508	KOM-COR175101-0403	Mariposa, physical	publish		
30510	KOM-CRP812501-0404	Domo explorer	publish		
30513	KOM-CRP810201-0903	Mini cúpula con tobogan	publish		
30515	KOM-PCT310321-0901	Giant palacio l+xl & torre mediana	publish		
30517	KOM-NRO2008-1001	El castillo de la bruja	publish		
30519	KOM-NRO836-1201	Cupula jungla	publish		
30521	KOM-PCM112821-0901	Castillo con torre de vigía	publish		
30523	KOM-PCM113221-0901	Barco man-o-war	publish		
30525	KOM-KPL400722-0902	Cuatro torres con tobogan de tubo	publish		
30527	KOM-PCM103031-0901	Torre de juego con rampa	publish		
30529	KOM-PCM81121-0950	Duo climber	publish		
30532	KOM-NRO2005-1001	Torre de los magos doble	publish		
30534	KOM-NRO542-1021	Barco explorador mediano	publish		
30536	KOM-NRO854-1001	Parcour 9	publish		
30539	KOM-NRO865-1001	Parcour 6	publish		
30541	KOM-PCE305121-0603	Buscacaminos	publish		
30543	KOM-M98301-1009	Columpio nido 360	publish		
30545	KOM-FAZ20100-0900	Combi 1 cross training	publish		
30547	KOM-FAZ60300-0001	Prensa de piernas	publish		
