product_id	product_name	product_slug	post_status	post_date	post_modified	sku	description_chars	short_description_chars	thumbnail_id	gallery_image_ids
5940	Ejercitador Eliptica Balance	eliptica-sencilla-balance	private	2020-12-28 15:37:32	2024-03-25 18:34:05	EJE-BA-08-00	1183	1421	28687	
5996	Ejercitador De Pecho Balance	pecho-sencillo	private	2020-12-28 23:56:10	2024-03-25 18:41:31	EJE-BA-11-00	1130	1439	28689	
6034	Ejercitador Potro Balance	potro-sencillo	private	2020-12-29 16:48:05	2024-03-25 18:28:24	EJE-BA-06-00	1194	2611	28685	
6037	Ejercitador Remadora Balance	remadora-sencilla	private	2020-12-29 16:51:11	2024-03-25 18:43:54	EJE-BA-12-00	1172	2632	28690	
6041	Ejercitador Caminadora Balance	caminadora-sencilla	private	2020-12-29 16:54:30	2024-03-25 18:30:18	EJE-BA-07-00	1146	1433	28686	20147
6045	Ejercitador Bicicleta Balance	bicicleta-sencilla	private	2020-12-29 16:58:38	2024-03-25 18:46:13	EJE-BA-15-00	1135	1422	28691	
6047	Ejercitador Abdominales Balance	ejercitador-abdominales	private	2020-12-29 17:00:06	2024-05-16 16:17:41	EJE-BA-01-00	1073	2647	29018	
6082	Juego Verona (EOS-511 7.0)	verona	draft	2020-12-29 17:54:30	2026-07-15 18:47:06	EOS-PR-01-00	1203	1429	25992	
6088	Juego Ibiza (IOS-PR-01-00)	ibiza	draft	2020-12-29 17:59:43	2026-07-15 18:47:06	IOS-PR-01-00	1221	1429	28151	
6101	Juego Gordon (EOS-PR-06-00)	gordon	private	2020-12-29 18:06:46	2026-07-15 18:47:07	EOS-PR-06-00	1339	2679	28152	
6113	Juego SIENA	siena	publish	2020-12-29 18:16:33	2026-07-17 19:18:29	MEC-CR-05-00	1281	2179	28170	
6115	Juego New Jersey (IOS-115 7.0)	new-jersey	private	2020-12-29 18:22:01	2026-07-15 18:47:09	IOS-PR-02-00	1143	1428	31238	21911,21912
6122	Juego Sevilla compuesto plástico reforzado (TDF-104 9.0)	sevilla	publish	2020-12-29 18:33:49	2026-07-15 18:47:09	TDF-CR-03-00	1203	1428	31059	
6154	Juego Valladolid	valladolidv1	private	2020-12-29 18:55:32	2026-07-15 18:47:10	TDF-CR-05-01	1194	1431	29292	21924
6156	EJERCITADOR BRAZOS FORTE	forte-ejercitador-de-brazos	publish	2020-12-29 18:57:15	2026-03-26 16:32:46	EJE-FO-10-00	0	2633	6158	22006
6181	EJERCITADOR SURFER FORTE	forte-surfer	publish	2020-12-29 19:14:11	2026-03-26 16:32:44	EJE-FO-05-00	1110	2633	25475	22002
6185	EJERCITADOR DE PIERNAS FORTE	forte-piernas	publish	2020-12-29 19:25:39	2026-03-26 16:32:46	EJE-FO-09-00	0	2633	6186	21998
6187	EJERCITADOR PECHO FORTE	forte-ejercitador-de-pecho	publish	2020-12-29 19:54:08	2026-03-26 16:32:46	EJE-FO-11-00	0	1425	6189	22000
6190	EJERCITADOR ELIPTICA FORTE	forte-eliptica	publish	2020-12-29 20:51:59	2026-03-26 16:32:45	EJE-FO-08-00	0	2633	22004	
6192	EJERCITADOR CAMINADORA FORTE	forte-caminadora	publish	2020-12-29 20:53:08	2026-04-27 16:47:00	EJE-FO-07-00	0	2625	32185	22001
6194	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	forte-cintura	publish	2020-12-29 20:55:03	2026-03-26 16:32:44	EJE-FO-03-00	0	2633	22012	22013
6197	EJERCITADOR BRAZOS Y MUÑECAS FORTE	forte-brazos-y-munecas	publish	2020-12-29 20:56:46	2026-03-26 16:32:44	EJE-FO-04-00	0	1436	6198	22011
6199	EJERCITADOR POTRO FORTE	forte-potro	publish	2020-12-29 20:58:04	2026-03-26 16:32:45	EJE-FO-06-00	0	1425	25473	22008
