excel_row	sku	model	sector
2	EL-118-4C	INFINITO	Centro Comercial, Restaurantes y Hoteles
3	EL-619-4C	TRAPIST	Centro Comercial, Restaurantes y Hoteles
4	EL-1619-4C	SIRIUS	Centro Comercial, Restaurantes y Hoteles
5	EL-1519-4C	MILLER	Centro Comercial, Restaurantes y Hoteles
6	EOS-PR-01-02	VERONA	Escuelas y colegios
7	IOS-PR-01-04	MODULO IBIZA	Residenciales y fraccionamientos
8	EOS-PR-05-00	MODULO SIENA	Juegos de exterior
9	TDF-00-01-00	MODULO VIZCAYA	Juegos de exterior
10	TDF-00-02-02	MODULO VALLADOLID	Residenciales y fraccionamientos
11	TDF-00-03-01	MODULO CORDOBA	Residenciales y fraccionamientos
12	EOS-PR-08-02	MODULO CALIFORNIA	Juegos de exterior
13	EOS-PR-09-00	MODULO MASSACHUSETTS	Escuelas y colegios
14	EOS-PR-10-01	MODULO PARIS	Juegos de exterior
15	EOS-PR-15-03	MODULO ARKANSAS	Juegos de exterior
16	EOS-PR-11-02	MODULO RANDOLPH	Escuelas y colegios
17	EOS-PR-18-03	MODULO GRADY	Escuelas y colegios
18	EOS-PR-19-02	MODULO PARMA	Residenciales y fraccionamientos
19	EOS-CR-01-00	MODULO BARCELONA	Juegos de exterior
20	EOS-PR-24-00	MODULO RUSSEL	Escuelas y colegios
21	EOS-PR-25-03	MODULO WINSTON	Juegos de exterior
22	EOS-PR-26-00	MODULO CHARLOTTE	Escuelas y colegios
23	EOS-PR-29-00	MODULO BALTIMORE BASIC	Residenciales y fraccionamientos
24	EOS-PR-28-00	MODULO BALTIMORE	Centro Comercial, Restaurantes y Hoteles
25	EOS-CR-02-03	MODULO BRITANIA	Juegos de exterior
26	EOS-CR-03-03	MODULO ESPAÑA	Juegos de exterior
27	EOS-PR-31-00	MODULO BOSTON	Escuelas y colegios
28	EOS-00-04-00	MODULO IGGY	Centro Comercial, Restaurantes y Hoteles
29	EOS-00-05-00	MODULO YETY	Residenciales y fraccionamientos
30	EOS-PR-34-00	MODULO ENSUEÑO	Residenciales y fraccionamientos
31	TEM-PL-02-00	MODULO NAVE ORION	Juegos de exterior
32	TEM-PL-01-00	MODULO NAVE TITAN	Juegos de exterior
33	TEM-PL-03-00	MODULO COHETE ESPACIAL	Escuelas y colegios
34	TEM-PL-07-00	MODULO MONSTRIKS	Centro Comercial, Restaurantes y Hoteles
35	TEM-PL-09-00	MODULO ROBOTO	Escuelas y colegios
36	TEM-PL-16-00	MODULO TEMATICO ZEBRA	Juegos de exterior
37	TEM-PL-15-00	MODULO TEMATICO JIRAFA	Juegos de exterior
38	TEM-PR-03-00	MODULO BARCO	Juegos de exterior
39	TEM-PR-04-00	MODULO NAVIO	Juegos de exterior
40	TEM-PR-06-05	MODULO IMPERIO	Juegos de exterior
41	TEM-PR-07-01	MODULO TREN	Centro Comercial, Restaurantes y Hoteles
42	EVA-PR-01-00	MODULO ATRACTION	Centro Comercial, Restaurantes y Hoteles
43	EVA-00-02-00	MODULO ARACNIDUS	Juegos de exterior
