document_key	relative_path	repository_path	document_type	mime_type	extension	bytes	sha256	canonical_url	attachment_ids	product_ids	product_skus	relation_types
2020/12/AED-004-FORTE-PECHO.pdf	2020/12/AED-004-FORTE-PECHO.pdf	media/production/documents/uploads/2020/12/AED-004-FORTE-PECHO.pdf	technical_pdf	application/pdf	.pdf	912867	830712b7a6ca9411a31fa8348e975de2f81a66f78d5d5d69f9fd6f2c87eccc87	https://www.productosjumbo.com/wp-content/uploads/2020/12/AED-004-FORTE-PECHO.pdf	6188	6187	EJE-FO-11-00	parented_attachment
2020/12/MEC-CR-01-00-dibujo2d.pdf	2020/12/MEC-CR-01-00-dibujo2d.pdf	media/production/documents/uploads/2020/12/MEC-CR-01-00-dibujo2d.pdf	drawing_2d	application/pdf	.pdf	356186	6f08dc79aabdf7773c429667d2ab4acbf47e97fe3a09fdce4c4afa45ca9d20c0	https://www.productosjumbo.com/wp-content/uploads/2020/12/MEC-CR-01-00-dibujo2d.pdf	32635	6797	MEC-CR-01-00	meta_url:_pj_dibujo_2d_url | parented_attachment
2020/12/MEC-CR-01-00-fichatecnica.pdf	2020/12/MEC-CR-01-00-fichatecnica.pdf	media/production/documents/uploads/2020/12/MEC-CR-01-00-fichatecnica.pdf	technical_sheet	application/pdf	.pdf	440094	2d6774c4af8846877838f3d883ef2684126225782a26a09db12c8bc819cce7c5	https://www.productosjumbo.com/wp-content/uploads/2020/12/MEC-CR-01-00-fichatecnica.pdf	32634	6797	MEC-CR-01-00	meta_url:_pj_ficha_tecnica_url | parented_attachment
2020/12/MEC-CR-04-00-dibujo2d.pdf	2020/12/MEC-CR-04-00-dibujo2d.pdf	media/production/documents/uploads/2020/12/MEC-CR-04-00-dibujo2d.pdf	drawing_2d	application/pdf	.pdf	286123	ce690dc7b114f2fe9b7977fb7536dda8bc6f1fe95bb2bd0e6b260cadd80e10ad	https://www.productosjumbo.com/wp-content/uploads/2020/12/MEC-CR-04-00-dibujo2d.pdf	32637	6839	MEC-CR-04-00	meta_url:_pj_dibujo_2d_url | parented_attachment
2020/12/MEC-CR-04-00-fichatecnica.pdf	2020/12/MEC-CR-04-00-fichatecnica.pdf	media/production/documents/uploads/2020/12/MEC-CR-04-00-fichatecnica.pdf	technical_sheet	application/pdf	.pdf	411840	835b5a3a3e5774b0d98eca6e4543858860401b499f0d2e990490823b26535e5c	https://www.productosjumbo.com/wp-content/uploads/2020/12/MEC-CR-04-00-fichatecnica.pdf	32636	6839	MEC-CR-04-00	meta_url:_pj_ficha_tecnica_url | parented_attachment
2020/12/MEC-CR-05-00-dibujo2d.pdf	2020/12/MEC-CR-05-00-dibujo2d.pdf	media/production/documents/uploads/2020/12/MEC-CR-05-00-dibujo2d.pdf	drawing_2d	application/pdf	.pdf	235918	0a163fb23f6f33264386ffa0d0f3b25ff47ade51e95d442373782fa25caa9a12	https://www.productosjumbo.com/wp-content/uploads/2020/12/MEC-CR-05-00-dibujo2d.pdf	32625	6113	MEC-CR-05-00	meta_url:_pj_dibujo_2d_url | parented_attachment
2020/12/MEC-CR-05-00-fichatecnica.pdf	2020/12/MEC-CR-05-00-fichatecnica.pdf	media/production/documents/uploads/2020/12/MEC-CR-05-00-fichatecnica.pdf	technical_sheet	application/pdf	.pdf	393907	af92cc977748e05aa276cdc73042522827c51a0b19be0250a1daa239541994b2	https://www.productosjumbo.com/wp-content/uploads/2020/12/MEC-CR-05-00-fichatecnica.pdf	32624	6113	MEC-CR-05-00	meta_url:_pj_ficha_tecnica_url | parented_attachment
2020/12/MER-PR-02-00-dibujo2d.pdf	2020/12/MER-PR-02-00-dibujo2d.pdf	media/production/documents/uploads/2020/12/MER-PR-02-00-dibujo2d.pdf	drawing_2d	application/pdf	.pdf	290854	fd0776b2059f2c050b5577bdd3d1cb636f18a5479483163c421fd84fab1d19c9	https://www.productosjumbo.com/wp-content/uploads/2020/12/MER-PR-02-00-dibujo2d.pdf	32627	6705	MER-PR-02-00	meta_url:_pj_dibujo_2d_url | parented_attachment
2020/12/MER-PR-02-00-fichatecnica.pdf	2020/12/MER-PR-02-00-fichatecnica.pdf	media/production/documents/uploads/2020/12/MER-PR-02-00-fichatecnica.pdf	technical_sheet	application/pdf	.pdf	373317	551b8cac98813ccbcf55fb6693b7ab0777c1cb6b0a29115151c8e0585395e850	https://www.productosjumbo.com/wp-content/uploads/2020/12/MER-PR-02-00-fichatecnica.pdf	32626	6705	MER-PR-02-00	meta_url:_pj_ficha_tecnica_url | parented_attachment
2020/12/MER-PR-06-00-dibujo2d.pdf	2020/12/MER-PR-06-00-dibujo2d.pdf	media/production/documents/uploads/2020/12/MER-PR-06-00-dibujo2d.pdf	drawing_2d	application/pdf	.pdf	365688	a0b94dc949d92059a7488b2e74fdf80222b29dd38df102da09d37b5d26e11092	https://www.productosjumbo.com/wp-content/uploads/2020/12/MER-PR-06-00-dibujo2d.pdf	32633	6785	MER-PR-06-00	meta_url:_pj_dibujo_2d_url | parented_attachment
