product_id	product_sku	product_name	product_status	document_count	pdf_count	zip_count	technical_sheet_count	drawing_2d_count	drawing_2d_package_count	technical_pdf_count	technical_package_count	total_bytes
5940	EJE-BA-08-00	Ejercitador Eliptica Balance	private	1	1	0	0	0	0	1	0	542838
5996	EJE-BA-11-00	Ejercitador De Pecho Balance	private	1	1	0	0	0	0	1	0	555318
6034	EJE-BA-06-00	Ejercitador Potro Balance	private	2	1	1	1	0	1	0	0	892819
6037	EJE-BA-12-00	Ejercitador Remadora Balance	private	2	1	1	1	0	1	0	0	776873
6041	EJE-BA-07-00	Ejercitador Caminadora Balance	private	1	1	0	0	0	0	1	0	501255
6045	EJE-BA-15-00	Ejercitador Bicicleta Balance	private	1	1	0	0	0	0	1	0	538231
6047	EJE-BA-01-00	Ejercitador Abdominales Balance	private	2	1	1	1	0	1	0	0	942876
6082	EOS-PR-01-02	Juego Verona (EOS-PR-01-02)	publish	1	0	1	0	0	1	0	0	456848
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	1	0	1	0	0	1	0	0	138622
6101	EOS-PR-06-00	Juego Gordon (EOS-PR-06-00)	private	2	1	1	1	0	1	0	0	1664745
6113	MEC-CR-05-00	Juego SIENA	publish	2	2	0	1	1	0	0	0	629825
6115	IOS-PR-02-00	Juego New Jersey (IOS-115 7.0)	private	1	0	1	0	0	1	0	0	1256121
6154	TDF-CR-05-01	Juego Valladolid	private	1	0	1	0	0	1	0	0	207010
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	2	1	1	1	0	1	0	0	1237519
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	2	1	1	1	0	1	0	0	871561
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	2	1	1	1	0	1	0	0	909942
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	2	2	0	0	0	0	2	0	1825734
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	2	1	1	1	0	1	0	0	1198700
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	2	1	1	1	0	1	0	0	1332815
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	2	1	1	1	0	1	0	0	972419
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish	1	1	0	0	0	0	1	0	523419
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish	1	1	0	0	0	0	1	0	532392
6201	EJE-FO-02-00	EJERCITADOR BARRAS PARALELAS FORTE	publish	1	1	0	0	0	0	1	0	536974
6203	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	publish	2	1	1	1	0	1	0	0	940824
6220	EJE-ID-03-00	EJERCITADOR BARRAS PARALELAS CURVAS	publish	1	0	1	0	0	1	0	0	177907
6233	EJE-ID-07-00	EJERCITADOR BARRAS	publish	1	0	1	0	0	1	0	0	186838
6264	BOT-LP-05-01	BOTE MISISIPI	publish	2	1	1	1	0	1	0	0	1046431
6267	BOT-00-05-00	BOTE CUADRADO	publish	2	1	1	1	0	1	0	0	971260
6283	BAN-00-09-00	BANCA HIMALAYA	publish	1	1	0	0	0	0	1	0	555537
6285	EJE-EST-02-00	Ejercitador Pasamanos Y 6 Postes	publish	1	0	1	0	0	1	0	0	309949
6288	BAN-LP-07-00	BANCA EVEREST	publish	1	1	0	0	0	0	1	0	1012462
6293	BAN-PP-01-00	BANCA PMP PLASTIMADERA	publish	1	1	0	0	0	0	1	0	873703
6299	BAN-PM-04-00	BANCA TÁCANA	publish	1	1	0	0	0	0	1	0	584627
6312	BAN-LP-06-00	BANCA CIRCULAR	publish	1	1	0	0	0	0	1	0	542177
6318	BAN-00-01-00	BANCA LOA LAMINA	publish	2	1	1	1	0	1	0	0	1017353
6324	BAN-PP-08-00	BANCA LOA PLASTIMADERA	publish	1	1	0	0	0	0	1	0	830974
6330	BAN-LP-04-00	BANCA AKIER	publish	1	1	0	0	0	0	1	0	957971
6335	BAN-LP-03-00	BANCA PALERMO	publish	1	1	0	0	0	0	1	0	1049990
6341	BAN-IN-01-00	BANCA LOGAN INCLUSIVA	publish	1	1	0	0	0	0	1	0	828419
6345	EJE-ID-30-00	Ejercitador Barras Dominadas Y 3 Postes (AID-1918)	private	1	0	1	0	0	1	0	0	197453
6346	BAN-00-07-00	BANCA ALPES	publish	1	1	0	0	0	0	1	0	500595
6350	BAN-00-05-00	BANCA PISSIS	publish	1	1	0	0	0	0	1	0	578480
6353	EJE-ID-32-00	EJERCITADOR JUMP BOX	publish	1	0	1	0	0	1	0	0	331908
6354	BAN-PM-07-00	BANCA BARCENA	publish	1	1	0	0	0	0	1	0	538932
6360	BAN-PM-05-00	BANCA PARA BOLERO	publish	1	1	0	0	0	0	1	0	626028
6361	CIR-00-02-00	CIRCUITO CALISTENIA BASICO	publish	1	1	0	1	0	0	0	0	769337
6364	CIR-00-03-00	CIRCUITO CALISTENIA COMPLETO	publish	1	0	1	0	0	1	0	0	264626
6370	MES-LP-05-00	MESA RODAS CON TECHO CIRCULAR	publish	1	1	0	0	0	0	1	0	517743
6374	BAN-PP-03-00	BANCA PUMORI PLASTIMADERA	publish	1	1	0	0	0	0	1	0	673985
6389	BAN-00-02-00	BANCA VELETA	publish	1	1	0	0	0	0	1	0	578627
6390	BAN-PP-09-00	BANCA MIKENO	publish	1	1	0	0	0	0	1	0	511068
6392	CIR-00-04-00	CIRCUITO CROSS-FIT	publish	2	1	1	1	0	1	0	0	1196648
6400	BAN-MS-03-01	BANCA TINDAYA SIN RESPALDO	publish	1	1	0	0	0	0	1	0	855033
6401	CIR-00-06-00	CIRCUITO PARA DEPORTES	publish	2	1	1	1	0	1	0	0	853675
6405	CIR-00-07-00	CIRCUITO DE EJERCICIOS BASIC	publish	2	1	1	1	0	1	0	0	759938
6411	CIR-00-08-00	CIRCUITO DE EJERCICIOS COMPLETO	publish	2	1	1	1	0	1	0	0	800794
6416	CIR-00-09-00	CIRCUITO DE EJERCICIOS	publish	2	1	1	1	0	1	0	0	992977
6423	CIR-00-10-00	CIRCUITO HEXÁGONO DE EJERCICIO	publish	2	1	1	1	0	1	0	0	1038107
6425	CIR-00-11-00	CIRCUITO NINJA	publish	2	1	1	1	0	1	0	0	1170075
6431	MES-PM-01-00	MESA DE PICNIC PLASTIMADERA	publish	2	1	1	1	0	1	0	0	1383903
6433	MES-LP-03-00	MESA NUPTSE	publish	2	1	1	1	0	1	0	0	1620513
6435	MES-LP-02-00	MESA KENYA	publish	2	1	1	1	0	1	0	0	1254172
6436	MES-LP-02-01	MESA KENYA CON SOMBRILLA	publish	2	1	1	1	0	1	0	0	1114903
6438	MES-PM-02-00	MESA KENYA PLASTIMADERA	publish	1	0	1	0	0	1	0	0	277359
6441	MES-IN-01-00	MESA DE PICNIC INCLUSIVA	publish	2	1	1	1	0	1	0	0	1473188
6443	MES-LP-06-00	MESA PICNIC JAYA	publish	2	1	1	1	0	1	0	0	1492018
6445	APA-00-05-00	APARCABICICLETA ONE RECTANGULAR	publish	1	1	0	0	0	0	1	0	568929
6448	APA-00-06-00	APARCABICICLETA SIX ONDULADO	publish	1	1	0	0	0	0	1	0	600390
6465	EJE-PE-01-00	EJERCITADOR BARRA DE PESAS	publish	2	1	1	1	0	1	0	0	727099
6467	APA-00-01-00	APARCABICICLETA ONE CURVO	publish	1	1	0	0	0	0	1	0	577740
6470	EJE-PE-02-00	EJERCITADOR PECHO Y ESPALDA CON PESAS	publish	2	1	1	1	0	1	0	0	866117
6474	APA-00-07-00	APARCABICICLETA THREE TRIANGULAR	publish	1	1	0	0	0	0	1	0	828888
6494	COL-IN-03-00	COLUMPIO CON CAMASTRO DE PLASTIPANEL	publish	1	0	1	0	0	1	0	0	835972
6506	MMA-117	Maceta Asimetrica Chica	publish	2	1	1	1	0	1	0	0	560943
6507	MMA-217	Maceta Geometrica Grande	publish	2	1	1	1	0	1	0	0	631112
6513	INOX-517B	Banca Loa Inox	draft	1	0	1	0	0	1	0	0	42144
6520	BOT-IX-02-00	BOTE GRIJALVA DOBLE CON TAPA	publish	2	1	1	0	0	1	1	0	719502
6536	EJE-IN-02-00	EJERCITADOR MUÑECAS DOBLE INCLUSIVO	publish	2	1	1	1	0	1	0	0	1024737
6543	EJE-IN-03-00	EJERCITADOR BRAZOS Y PIERNAS DOBLE INCLUSIVO	publish	1	1	0	0	0	0	1	0	543043
6546	EJE-IN-04-00	EJERCITADOR COMBINADO DE BRAZOS Y MUÑECAS INCLUSIVO	publish	2	1	1	1	0	1	0	0	1707203
6557	EJE-IN-07-00	EJERCITADOR DOMINADAS EN BARRA FORTE INCLUSIVO	publish	2	1	1	1	0	1	0	0	919627
6561	EJE-IN-08-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE INCLUSIVO	publish	2	1	1	1	0	1	0	0	937551
6564	EJE-IN-09-00	EJERCITADOR BRAZOS, MUÑECAS Y HOMBROS INCLUSIVO	publish	2	1	1	1	0	1	0	0	868841
6569	BUS-LP-01-00	PARABUS LONG	publish	2	1	1	1	0	1	0	0	946292
6585	REH-00-08-00	CONJUNTO DE REHABILITACIÓN A	publish	2	1	1	1	0	1	0	0	1036799
6589	REH-00-07-00	CONJUNTO DE REHABILITACIÓN B	publish	2	1	1	1	0	1	0	0	996625
6647	DEP-MO-02-00	11 BANCAS DE JUGADORES CON TECHUMBRE	publish	2	1	1	1	0	1	0	0	1065008
6653	DEP-00-06-00	TABLERO DE BÁSQUETBOL	publish	2	1	1	1	0	1	0	0	885476
6661	DEP-MO-03-00	GRADAS TECHADAS 5 ASIENTOS Y 4 DESCANSA PIES	publish	2	1	1	1	0	1	0	0	1334829
6664	DEP-00-09-00	PORTERIA FÚTBOL RAPIDO	publish	2	1	1	1	0	1	0	0	1221389
6665	EOS-PR-08-00	Juego California (EOS-PR-08-00)	draft	1	0	1	0	0	1	0	0	992078
6674	VL-119	Velaria Twist Malla Sombra 9.2  X 9.2 M	private	2	1	1	1	0	1	0	0	731181
6676	EOS-PR-10-00	Juego Paris (EOS-PR-10-01)	publish	1	0	1	0	0	1	0	0	1228491
6683	DEP-00-12-00	CANCHA CIRCULAR DE FUTBOL RAPIDO	publish	2	1	1	1	0	1	0	0	1274330
6686	DEP-00-10-00	PORTERIA DE FÚTBOL PROFESIONAL	publish	2	1	1	1	0	1	0	0	1257943
6689	DEP-MO-05-00	MESA DE AJEDREZ	publish	1	1	0	0	0	0	1	0	562653
6691	VL-219	Velaria Conica Malla Sombra 4 Puntos 9.2 X 9.2 M	private	2	1	1	1	0	1	0	0	729382
6693	VL-319	Sombrilla Malla Sombra 4 Puntos 3 X 3 M	private	2	1	1	1	0	1	0	0	1251121
6697	VL-119-1	Velaria Twist Malla Sombra 6.2 X 6.2 M	private	2	1	1	1	0	1	0	0	751637
6699	VL-219-1	Velaria Conica Malla Sombra 4 Puntos 6.2  X 6.2 M	private	2	1	1	1	0	1	0	0	733697
6705	MER-PR-02-00	Juego MASSACHUSETTS	publish	2	2	0	1	1	0	0	0	664171
6707	EOS-PR-11-00	Juego Randolph (EOS-1613 10.0)	draft	1	0	1	0	0	1	0	0	2248949
6713	EOS-PR-12-00	Juego Utah (EOS-515 7.0)	private	1	0	1	0	0	1	0	0	689504
6723	EOS-PR-13-00	Juego Minnesota (EOS-PR-13-00)	private	1	0	1	0	0	1	0	0	1014803
6728	DEP-00-11-00	RED Y 2 POSTES DE VOLEIBOL	publish	2	1	1	1	0	1	0	0	921547
6731	CAN-PL-07-00	BANCA DE HUESO CANINO	publish	2	1	1	1	0	1	0	0	756143
6733	EOS-PR-17-00	Juego Oregon (EOS-1010 7.0)	private	1	0	1	0	0	1	0	0	893714
6736	CAN-PL-01-00	TUNEL CANINO	publish	2	1	1	1	0	1	0	0	834096
6738	MEV-CR-03-00	Juego GRADY	publish	2	2	0	1	1	0	0	0	694362
6739	CAN-PL-12-00	RAMPA CANINA	publish	2	1	1	1	0	1	0	0	865284
6741	CAN-PL-06-00	VALLAS CANINO	publish	2	1	1	1	0	1	0	0	872325
6747	CAN-PL-10-00	BALANCIN CANINO	publish	2	1	1	1	0	1	0	0	805595
6748	CAN-PL-02-00	AROS CANINO	publish	2	1	1	1	0	1	0	0	1082290
6750	CAN-PL-15-00	BEBEDERO CANINO	publish	1	1	0	1	0	0	0	0	685088
6752	CAN-PL-05-00	SALTO DOBLE CANINO	publish	2	1	1	1	0	1	0	0	758654
6755	CAN-PL-11-00	MESA CANINA	publish	2	1	1	1	0	1	0	0	894943
6757	CAN-PL-08-00	GRADAS CANINO	publish	2	1	1	1	0	1	0	0	803358
6760	CAN-00-02-00	SLALOM CANINO	publish	2	1	1	1	0	1	0	0	828765
6763	CAN-PM-01-00	PASARELA CANINO	publish	2	1	1	1	0	1	0	0	1020162
6764	EOS-PR-19-00	Juego Parma (EOS-PR-19-00)	draft	1	0	1	0	0	1	0	0	204335
6770	EOS-PR-23-00	Juego Pittsburgh (EOS-PR-23-00)	private	1	0	1	0	0	1	0	0	255822
6783	MER-PR-07-00	Juego WINSTON	publish	2	2	0	1	1	0	0	0	939426
6785	MER-PR-06-00	Juego RUSSEL	publish	2	2	0	1	1	0	0	0	789229
6791	EOS-PR-22-00	Juego Pensilvania (EOS-PR-22-00)	private	1	0	1	0	0	1	0	0	268593
6793	EOS-PR-29-00	Juego BALTIMORE BASIC	publish	1	0	1	0	0	1	0	0	287704
6795	EOS-PR-28-00	Juego BALTIMORE	publish	1	0	1	0	0	1	0	0	420678
6797	MEC-CR-01-00	Juego BOSTON	publish	2	2	0	1	1	0	0	0	796280
6810	BAN-00-04-00	BANCA CON PERFILES	publish	1	1	0	0	0	0	1	0	527663
6836	EOS-PR-15-03	Juego Arkansas (EOS-PR-15-03)	publish	1	0	1	0	0	1	0	0	555089
6839	MEC-CR-04-00	Juego BARCELONA	publish	2	2	0	1	1	0	0	0	697963
6841	EOS-CR-02-00	Juego Britania (EOS-FV-02-00)	draft	1	0	1	0	0	1	0	0	269063
6843	EOS-FV-03-00	Juego España (EOS-FV-03-00)	draft	1	0	1	0	0	1	0	0	419737
6846	EOS-PR-32-00	Juego Misuri	private	1	0	1	0	0	1	0	0	326559
6852	TEM-PL-09-20	Juego ROBOTO	publish	2	1	1	1	0	1	0	0	1112374
6860	TEM-PL-03-00	Juego Cohete Espacial	publish	1	0	1	0	0	1	0	0	101189
6872	TEM-PL-02-20	Juego NAVE ORION	publish	1	0	1	0	0	1	0	0	474640
6874	TEM-PR-03-20	Juego BARCO	publish	1	0	1	0	0	1	0	0	950288
6876	TEM-PR-04-20	Juego NAVIO	publish	1	0	1	0	0	1	0	0	472464
6884	TEM-PL-01-20	Juego Nave Titán	publish	1	0	1	0	0	1	0	0	1154928
6897	EVA-00-02-00	Juego ARACNIDUS	publish	1	0	1	0	0	1	0	0	292014
6899	EVA-PR-03-00	Juego Capri (EVA-114-1)	private	1	0	1	0	0	1	0	0	329629
6910	EVA-PL-01-00	Juego GENERATION	publish	1	0	1	0	0	1	0	0	287972
6916	TRE-CU-03-01	TREPADERO PIRAMIDE CHICA	publish	1	0	1	0	0	1	0	0	86147
6918	TRE-CU-05-00	TREPADERO TRIKON	publish	1	0	1	0	0	1	0	0	115250
6920	TRE-PL-01-00	TREPADERO GEODESICO	publish	1	0	1	0	0	1	0	0	136239
6928	TRE-00-02-00	TREPADERO TRIPLEX	publish	1	0	1	0	0	1	0	0	69138
6934	TRE-TM-02-00	TREPADERO DINOSAURIO	publish	1	1	0	1	0	0	0	0	779547
6942	TRE-TM-03-00	TREPADERO BALLENA	publish	2	1	1	1	0	1	0	0	1011049
6944	TRE-TM-05-00	TREPADERO TORTUGA	publish	1	0	1	0	0	1	0	0	144610
6962	COL-AB-10-00	COLUMPIO RESIDENCIAL 2 CANASTILLAS	publish	1	0	1	0	0	1	0	0	97418
6964	CON-CR-04-00	CONJUNTO RESIDENCIAL, COLUMPIOS Y BAJADA COMPUESTO PLASTICO REFORZADO 2.40M	publish	1	0	1	0	0	1	0	0	63108
6972	GIR-00-01-00	GIRATORIO ORBIT S	publish	1	0	1	0	0	1	0	0	40923
6985	IRE-PL-05-00	MONTABLE GLOBFLEX	publish	1	0	1	0	0	1	0	0	87336
6994	IRE-00-01-00	MONTABLE BASICO	publish	1	0	1	0	0	1	0	0	48512
6997	IRE-PL-03-00	MONTABLE MOTO	publish	1	0	1	0	0	1	0	0	49702
7000	IRE-PL-08-00	MONTABLE DELFIN	publish	1	0	1	0	0	1	0	0	112215
7003	IRE-PL-02-00	MONTABLE CAMION	publish	1	0	1	0	0	1	0	0	69438
7009	RES-PL-04-00	RESBALADILLA RACER	publish	1	0	1	0	0	1	0	0	75313
7017	RES-PP-01-00	RESBALADILLA OLAS DE PLASTICO	publish	1	0	1	0	0	1	0	0	80585
7039	SUB-00-01-01	SUBE Y BAJA DOBLE	publish	1	0	1	0	0	1	0	0	25663
