product_id	product_sku	product_name	product_status	unique_images	featured_images	gallery_images	parented_attachments	content_images	image_paths
5940	EJE-BA-08-00	Private: Ejercitador Eliptica Balance	private	2	1	0	2	0	2020/12/aparato-ejercicio-eliptica-individual.jpg | 2020/12/productos_jumbo_ejercitador_eliptica_balance.png
5996	EJE-BA-11-00	Private: Ejercitador De Pecho Balance	private	1	1	0	1	0	2020/12/productos_jumbo_ejercitador_de-pecho_balance.png
6034	EJE-BA-06-00	Private: Ejercitador Potro Balance	private	1	1	0	1	0	2020/12/productos_jumbo_ejercitador_potro_balance.png
6037	EJE-BA-12-00	Private: Ejercitador Remadora Balance	private	1	1	0	1	0	2020/12/productos_jumbo_ejercitador_remadora_balance.png
6041	EJE-BA-07-00	Private: Ejercitador Caminadora Balance	private	2	1	1	1	0	2020/12/productos_jumbo_ejercitador_caminadora_balance.png | 2021/06/balance.png
6045	EJE-BA-15-00	Private: Ejercitador Bicicleta Balance	private	1	1	0	1	0	2020/12/productos_jubmo_ejercitador_bicicleta_balance.png
6047	EJE-BA-01-00	Private: Ejercitador Abdominales Balance	private	3	1	0	3	0	2020/12/AEF-0212-3-Abdominal-Individual-gris.png | 2020/12/ejercitador-para-abdominales-basico-en-parques-productos-jumbo.png | 2020/12/productos_jumbo_ejercitador_abdominal_equilibrio.png
6082	EOS-PR-01-02	Juego Verona (EOS-PR-01-02)	publish	2	1	0	1	0	2020/12/modulo-verona-productos-jumbo.jpg | 2026/07/EOS-PR-01-02.png
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	3	1	0	3	0	2020/12/juego-de-exterior-en-parques.jpg | 2020/12/modulo-ibiza-OS-PR-01-00.jpg | 2020/12/modulo-ibiza-juego-infantil-productos-jumbo.jpg
6101	EOS-PR-06-00	Private: Juego Gordon (EOS-PR-06-00)	private	2	1	0	2	0	2020/12/modulo-gordon-EOS-PR-06-00.jpg | 2020/12/modulo-gordon-juego-infantil-productos-jumbo.jpg
6113	MEC-CR-05-00	Juego SIENA	publish	7	1	2	4	0	2020/12/juego-siena-para-parques-resbaladillas.jpg | 2020/12/juego-siena-para-parques-subida.jpg | 2020/12/modulo-siena-EOS-PR-05-00.jpg | 2020/12/modulo-siena-juego-infantil-productos-jumbo.jpg | 2026/07/Juego-Siena-EOS-PR-05-00-im.avif | 2026/07/Juego-Siena-EOS-PR-05-00-top.avif | 2026/07/Juego-Siena-EOS-PR-05-00.avif
6115	IOS-PR-02-00	Private: Juego New Jersey (IOS-115 7.0)	private	4	1	2	4	0	2020/12/IOS-PR-02-02-New-Jersey.webp | 2020/12/columpios-para-fraccionamientos.jpg | 2020/12/juego-para-fraccionamientos-new-jersey.jpg | 2020/12/modulo-new-jersey-juego-infantil.png
6154	TDF-CR-05-01	Private: Juego Valladolid	private	3	1	1	3	0	2020/12/Modulo-Valladolid-TDF-CR-05-02-V2-700-px-x-500.webp | 2020/12/juego-con-columpios-y-pasamanos-valladolidv1.jpg | 2020/12/modulo-valladolid-v1-juego-para-parques.png
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	2	1	1	2	0	2020/12/AED-003.png | 2020/12/ejercitador-forte-de-brazos-exterior.jpg
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	2	1	1	2	0	2020/12/aparato-de-ejercicio-surfer-forte-1.jpg | 2020/12/aparato-surfer-para-exteriores-forte.jpg
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	2	1	1	2	0	2020/12/AED-002.png | 2020/12/aparato-gimnasio-forte-piernas.jpg
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	2	1	1	2	0	2020/12/AED-004.png | 2020/12/ejercitador-forte-exterior-para-pecho.jpg
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	1	1	0	1	0	2020/12/AED-005-Eliptica.png
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	4	1	1	3	0	2020/12/AED-006-CAMINADORAA-Temp0001.png | 2020/12/ejercitador-forte-caminadora-de-exterior.jpg | 2026/03/EJE-FO-07-00-EJERCITADOR-CAMINADORA-FORTE.avif | 2026/04/EJE-FO-07-00-EJERCITADOR-CAMINADORA-FORTE.avif
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	2	1	1	2	0	2020/12/AED-010-CINTURA.png | 2020/12/ejercitador-forte-de-exterior-cintura.jpg
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish	2	1	1	2	0	2020/12/AED-011.png | 2020/12/ejercitador-brazos-munecas-forte.jpg
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish	2	1	1	2	0	2020/12/aparato-de-ejercicio-potro-forte.jpg | 2020/12/ejercitador-de-exterior-pecho.hombro-espalda.jpg
6201	EJE-FO-02-00	EJERCITADOR BARRAS PARALELAS FORTE	publish	2	1	1	2	0	2020/12/AED-016.png | 2020/12/ejercitador-para-hombro-brazo-forte.jpg
6203	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	publish	1	1	0	1	0	2020/12/aparato-para-abdominales-forte.jpg
6205	BOT-LP-07-00	BOTE TOKYO	publish	1	1	0	1	0	2020/12/Bote-Tokio-BB-110.png
6207	BOT-00-01-00	BOTE CENTRO HISTORICO	publish	2	1	0	2	0	2020/12/MUO-113.png | 2020/12/bote-de-basura-Centro-Historico-BAL-172A-2.jpg
6210	BOT-LP-03-00	BOTE GRIJALVA	publish	1	1	0	1	0	2020/12/BOTE-GRIJALVA-JUMBO.jpg
6218	BOT-00-03-00	BOTE MOSCOVA	publish	2	1	0	2	0	2020/12/Bote-Moscova-MUO-317.png | 2026/03/BOT-00-03-00-BOTE-MOSCOVA.avif
6220	EJE-ID-03-00	EJERCITADOR BARRAS PARALELAS CURVAS	publish	1	1	0	1	0	2020/12/BAR-1.png
6230	BOT-LP-02-00	BOTE OKA	publish	1	1	0	1	0	2020/12/MUO-117-01.png
6233	EJE-ID-07-00	EJERCITADOR BARRAS	publish	1	1	0	1	0	2020/12/BAR-3.png
6236	BOT-00-02-00	BOTE KUMA	publish	1	1	0	1	0	2020/12/Bote-Kuma-MUO-717.png
6243	BOT-LP-03-01	BOTE GRIJALVA DOBLE	publish	1	1	0	1	0	2020/12/Bote-grijalva-doble.jpg
6247	BOT-LP-05-00	BOTE ZAIRE	publish	1	1	0	1	0	2020/12/Bote-Zaire-MUO-1112.jpg
6251	BOT-LP-04-00	BOTE RIN	publish	2	1	0	2	0	2020/12/bote-rin-sencillo-productos-jumbo.jpg | 2026/03/BOT-LP-04-00-BOTE-RIN.avif
6254	EJE-ID-11-00	EJERCITADOR AROS LARGO Y 2 POSTES	publish	2	1	0	2	0	2020/12/AID-218.png | 2020/12/EJE-ID-11-00.png
6255	BOT-LP-04-01	BOTE RIN DOBLE	publish	2	1	0	2	0	2020/12/MUO-518-1.png | 2020/12/MUO-518-2.png
6256	BOT-LP-04-02	BOTE RIN TRIPLE	publish	2	1	1	2	0	2020/12/MUO-518-3.png | 2020/12/bote-de-basura-triple-jumbo.jpg
6260	BOT-LP-01-00	BOTE PARANA	publish	3	1	0	3	0	2020/12/Bote-Parana-BOT-LP-01-00.webp | 2020/12/bote-de-basura-parana-productos-jumbo-1.jpg | 2020/12/bote-de-basura-parana-productos-jumbo.jpg
6264	BOT-LP-05-01	BOTE MISISIPI	publish	1	1	0	1	0	2020/12/MUO-1612.png
6267	BOT-00-05-00	BOTE CUADRADO	publish	1	1	0	1	0	2020/12/MUO-519.png
6271	BOT-PM-01-00	BOTE CIRCULAR	publish	2	1	0	1	1	2020/12/Bote-Circular-con-Plastimadera-MUO-419.jpg | 2021/01/Eco-Jumbo-2022-logo-300x292.png
6278	BOT-PL-01-00	BOTE ONON	publish	1	1	0	1	0	2020/12/MUO-517.png
6283	BAN-00-09-00	BANCA HIMALAYA	publish	1	1	0	1	0	2020/12/banca-himalaya-productos-jumbo.jpg
6285	EJE-EST-02-00	Ejercitador Pasamanos Y 6 Postes	publish	2	1	0	2	0	2020/12/AID-818.png | 2026/03/EJE-EST-02-00-EJERCITADOR-PASAMANOS-Y-6-POSTES.avif
6288	BAN-LP-07-00	BANCA EVEREST	publish	1	1	0	1	0	2020/12/BF-112.png
6293	BAN-PP-01-00	BANCA PMP PLASTIMADERA	publish	3	1	0	2	1	2020/12/BF-165.png | 2020/12/ban-pp-01-00-scaled.png | 2021/01/Eco-Jumbo-2022-logo-300x292.png
6299	BAN-PM-04-00	BANCA TÁCANA	publish	4	1	1	3	1	2020/12/MUA-116-2.png | 2020/12/MUA-116.png | 2020/12/banca-tacana-plastimadera-exterior.jpg | 2021/01/Eco-Jumbo-2022-logo-300x292.png
6312	BAN-LP-06-00	BANCA CIRCULAR	publish	1	1	0	1	0	2020/12/MUA-519.png
6318	BAN-00-01-00	BANCA LOA LAMINA	publish	2	1	0	2	0	2020/12/Banca-Loa-Lamina-MUA-517A.jpg | 2020/12/MUA-619.png
6324	BAN-PP-08-00	BANCA LOA PLASTIMADERA	publish	4	1	2	3	1	2020/12/MUA-517B.png | 2020/12/banca-loa-de-plastimadera.jpg | 2020/12/banca-loa-plastimadera-atras.jpg | 2021/01/Eco-Jumbo-2022-logo-300x292.png
6330	BAN-LP-04-00	BANCA AKIER	publish	2	1	0	2	0	2020/12/Banca-Akier-BAN-LP-04-00-500px-x-500-px.jpg | 2020/12/MUA-1013.png
6335	BAN-LP-03-00	BANCA PALERMO	publish	1	1	0	1	0	2020/12/Banca-Palermo-MUA-1212.jpg
6341	BAN-IN-01-00	BANCA LOGAN INCLUSIVA	publish	2	1	0	1	1	2020/12/MUA-1015-DC.png | 2021/01/Eco-Jumbo-2022-logo-300x292.png
6345	EJE-ID-30-00	Private: Ejercitador Barras Dominadas Y 3 Postes (AID-1918)	private	1	1	0	1	0	2020/12/AID-1918.png
6346	BAN-00-07-00	BANCA ALPES	publish	2	1	1	2	0	2020/12/MUA-512.png | 2020/12/banca-alpes-para-parques.jpg
6350	BAN-00-05-00	BANCA PISSIS	publish	2	1	0	2	0	2020/12/MUA-617-2.png | 2020/12/MUA-617-3.png
6353	EJE-ID-32-00	EJERCITADOR JUMP BOX	publish	1	1	0	1	0	2020/12/AID-2218.png
6354	BAN-PM-07-00	BANCA BARCENA	publish	3	1	1	2	1	2020/12/MUA-317.png | 2020/12/banca-barcena-con-maceta.jpg | 2021/01/Eco-Jumbo-2022-logo-300x292.png
6360	BAN-PM-05-00	BANCA PARA BOLERO	publish	2	1	0	1	1	2020/12/BBP-216.png | 2021/01/Eco-Jumbo-2022-logo-300x292.png
